account_name,nsbi_sector,deal_type,nsbi_financial_contribution,city,nsbi_county,postal_code,fiscal_year,longitude,latitude,coordinates
Stright-MacKay Ltd,Business Services,Export Growth Program,2265,New Glasgow,Pictou,B2H5E1,2018 - 2019,-62.638714,45.604452,POINT (-62.638714 45.604452)
AGL Group Holding Limited,Advanced Manufacturing,Export Growth Program,1609,Bridgewater,Lunenburg,B0J2C0,2018 - 2019,-64.309889,44.37635,POINT (-64.309889 44.37635)
Arrivals + Departures Communications Limited,Business Services,Export Growth Program,3445,Halifax,Halifax Regional Municipality,B3J1S9,2018 - 2019,-63.576866,44.652261,POINT (-63.576866 44.652261)
Breton SmarTek Inc,ICT (includes Digital Media),Export Growth Program,3737,Sydney,Cape Breton,B1P6H1,2018 - 2019,-60.224927,46.083532,POINT (-60.224927 46.083532)
Chocolate Hackers,Agri-food,Export Growth Program,2430,Halifax,Halifax Regional Municipality,B3K2H7,2018 - 2019,-63.604915,44.665088,POINT (-63.604915 44.665088)
DynaGen Technologies Incorporated,Advanced Manufacturing,Export Growth Program,9050,Dartmouth,Halifax Regional Municipality,B3B1W8,2018 - 2019,-63.579683,44.70058,POINT (-63.579683 44.70058)
Eosense Inc,Energy,Export Growth Program,6780,Dartmouth,Halifax Regional Municipality,B3B1E8,2018 - 2019,-63.613528,44.694128,POINT (-63.613528 44.694128)
Fossil Power Systems Inc.,Advanced Manufacturing,Export Growth Program,6700,Beaver Bank,Halifax Regional Municipality,B4G1E2,2018 - 2019,-63.68541,44.870831,POINT (-63.68541 44.870831)
InterTalk Critical Information Systems Inc,ICT (includes Digital Media),Export Growth Program,5284,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
LearnCorp International,ICT (includes Digital Media),Export Growth Program,13500,Sydney,Cape Breton,B1P6L2,2018 - 2019,-60.19332,46.14367,POINT (-60.19332 46.14367)
Sailing CBI Inc,Business Services,Export Growth Program,4618,Baddeck,Victoria,B0E1B0,2018 - 2019,-60.8321268,46.073988,POINT (-60.8321268 46.073988)
Bad Fem Productions Inc.,Film Production,Export Growth Program,3417,Truro,Colchester,B2N1C1,2018 - 2019,-63.29626,45.363579,POINT (-63.29626 45.363579)
Colibri Software,ICT (includes Digital Media),Export Growth Program,1483,Wolfville,Kings,B4P2R6,2018 - 2019,-64.36820119,45.0890494,POINT (-64.36820119 45.0890494)
Festina Lente Productions Inc.,Film Production,Export Growth Program,3285,Chester,Lunenburg,B0J1J0,2018 - 2019,-64.225079,44.560562,POINT (-64.225079 44.560562)
Halifax Glassworks Limited,Advanced Manufacturing,Export Growth Program,1800,Halifax,Halifax Regional Municipality,B3J1M4,2018 - 2019,-63.572203,44.648963,POINT (-63.572203 44.648963)
Modest Tree Media Inc,ICT (includes Digital Media),Export Growth Program,7250,Halifax,Halifax Regional Municipality,B3K2R6,2018 - 2019,-63.613967,44.665253,POINT (-63.613967 44.665253)
SEG Consulting Inc.,Business Services,Export Growth Program,2312,Halifax,Halifax Regional Municipality,B3J3J8,2018 - 2019,-63.57894264,44.65095794,POINT (-63.57894264 44.65095794)
Shut Up & Colour Pictures Inc,Film Production,Export Growth Program,13796,Halifax,Halifax Regional Municipality,B3K1P6,2018 - 2019,-63.592883,44.658346,POINT (-63.592883 44.658346)
SolutionInc Ltd,ICT (includes Digital Media),Export Growth Program,4750,Halifax,Halifax Regional Municipality,B3K1T2,2018 - 2019,-63.595928,44.658385,POINT (-63.595928 44.658385)
Swept Technologies Inc.,ICT (includes Digital Media),Export Growth Program,5800,Halifax,Halifax Regional Municipality,B3J0A7,2018 - 2019,-63.5746568,44.6450065,POINT (-63.5746568 44.6450065)
WoodChaCallIt Toy and Wood Crafters,Advanced Manufacturing,Export Growth Program,7177,Hatchet Lake,Halifax Regional Municipality,B3T1P7,2018 - 2019,-63.729792,44.56335,POINT (-63.729792 44.56335)
EfficiencyOne Services Inc,Business Services,Export Growth Program,12701,Dartmouth,Halifax Regional Municipality,B3B1G5,2018 - 2019,-63.605171,44.69816,POINT (-63.605171 44.69816)
ProNova Marine Products Limited,Oceans Technology,Export Growth Program,2042,Lower Woods Harbour,Shelburne,B0W2E0,2018 - 2019,-65.718791,43.506113,POINT (-65.718791 43.506113)
QRA Corp,ICT (includes Digital Media),Export Growth Program,9487,Halifax,Halifax Regional Municipality,B3K5L2,2018 - 2019,-63.602819,44.659309,POINT (-63.602819 44.659309)
VitaMed Inc,Life Sciences,Export Growth Program,15000,Bedford,Halifax Regional Municipality,B4A1G5,2018 - 2019,-63.670275,44.709158,POINT (-63.670275 44.709158)
Core Elements Advisors Inc.,Business Services,Export Growth Program,1575,Halifax,Halifax Regional Municipality,B3H3K1,2018 - 2019,-63.588845,44.639667,POINT (-63.588845 44.639667)
Keeping Roads Safe Technologies Inc,ICT (includes Digital Media),Export Growth Program,12750,Bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
Andrew MacCormack,Film Production,Export Growth Program,513,Dartmouth,Halifax Regional Municipality,B3A3R7,2018 - 2019,-63.563906,44.679054,POINT (-63.563906 44.679054)
Aqua Production Systems Incorporated,Advanced Manufacturing,Export Growth Program,14980,New Glasgow,Pictou,B2H5C4,2018 - 2019,-62.58817,45.576852,POINT (-62.58817 45.576852)
InnovaSea Marine Systems Canada Inc DBA Vemco,ICT (includes Digital Media),Export Growth Program,5725,Hammonds Plains,Halifax Regional Municipality,B4B1L9,2018 - 2019,-63.754376,44.700635,POINT (-63.754376 44.700635)
Nexus Coastal Resource Management,Engineering & Professional,Export Growth Program,6700,Hubley,Halifax Regional Municipality,B3Z1B8,2018 - 2019,-63.795244,44.672015,POINT (-63.795244 44.672015)
NS Sports Media Pros Ltd,ICT (includes Digital Media),Export Growth Program,17875,Halifax,Halifax Regional Municipality,B3S0B9,2018 - 2019,-63.6851302,44.658753,POINT (-63.6851302 44.658753)
Over The Edge (Canada) Inc,Business Services,Export Growth Program,5000,Halifax,Halifax Regional Municipality,B3P1K9,2018 - 2019,-63.617374,44.624443,POINT (-63.617374 44.624443)
Pro-Oceanus Systems Inc,Oceans Technology,Export Growth Program,14925,Bridgewater,Lunenburg,B4V1N1,2018 - 2019,-64.52322,44.379736,POINT (-64.52322 44.379736)
Sales Beacon,ICT (includes Digital Media),Export Growth Program,10352,Brooklyn,Lunenburg,B0J1H0,2018 - 2019,-64.710851,44.055473,POINT (-64.710851 44.055473)
Sober Island Oysters Limited,Fish & Seafood Processing,Export Growth Program,7800,Sheet Harbour,Halifax Regional Municipality,B0J3B0,2018 - 2019,-62.441121,44.883146,POINT (-62.441121 44.883146)
Survival Systems Ltd,Oceans Technology,Export Growth Program,6850,Dartmouth,Halifax Regional Municipality,B2Y4W6,2018 - 2019,-63.539046,44.6562,POINT (-63.539046 44.6562)
Victoria Co-Operative Fisheries Ltd,Fish & Seafood Processing,Export Growth Program,15304,Neils Harbour,Victoria,B0C1N0,2018 - 2019,-60.343878,46.762745,POINT (-60.343878 46.762745)
The Soap Company of Nova Scotia Ltd,Advanced Manufacturing,Export Growth Program,1350,Sherbrooke,Guysborough,B0J3C0,2018 - 2019,-62.026841,45.193706,POINT (-62.026841 45.193706)
My Home Apparel,Advanced Manufacturing,Export Growth Program,7400,Truro,Colchester,B2N2K5,2018 - 2019,-63.27507,45.363155,POINT (-63.27507 45.363155)
QRA Corp,ICT (includes Digital Media),Export Growth Program,10438,Halifax,Halifax Regional Municipality,B3K5L2,2018 - 2019,-63.602819,44.659309,POINT (-63.602819 44.659309)
RIMOT.IO Inc,ICT (includes Digital Media),Export Growth Program,1547,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
Site 2020 Inc.,ICT (includes Digital Media),Export Growth Program,23625,Dartmouth,Halifax Regional Municipality,B3B1L3,2018 - 2019,-63.595664,44.704755,POINT (-63.595664 44.704755)
Social Navigator Inc,ICT (includes Digital Media),Export Growth Program,25000,Halifax,Halifax Regional Municipality,B3S0B9,2018 - 2019,-63.6851302,44.658753,POINT (-63.6851302 44.658753)
Benjamin Bridge Vineyards,Agri-food,Export Growth Program,14263,Wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
Eye Catch Signs Limited,Advanced Manufacturing,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3K3V4,2018 - 2019,-63.590323,44.654665,POINT (-63.590323 44.654665)
Flo Digital Inc,ICT (includes Digital Media),Export Growth Program,3232,Halifax,Halifax Regional Municipality,B3J2X2,2018 - 2019,-63.645986,44.648416,POINT (-63.645986 44.648416)
Focal Research Consultants Limited,Business Services,Export Growth Program,7300,Halifax,Halifax Regional Municipality,B3L2C2,2018 - 2019,-63.627898,44.653612,POINT (-63.627898 44.653612)
Journeyman Film Company  Ltd.,ICT (includes Digital Media),Export Growth Program,4565,Dartmouth,Halifax Regional Municipality,B2Y2S6,2018 - 2019,-63.566107,44.666248,POINT (-63.566107 44.666248)
Sea to Sea Productions Ltd.,Film Production,Export Growth Program,2700,Boutiliers Point,Halifax Regional Municipality,B3Z1R3,2018 - 2019,-63.95209554,44.6653421,POINT (-63.95209554 44.6653421)
Shift,Business Services,Export Growth Program,4700,Head Of St Margarets Bay,Halifax Regional Municipality,B3Z1X8,2018 - 2019,-63.919943,44.680846,POINT (-63.919943 44.680846)
Turbulent Research Inc,Oceans Technology,Export Growth Program,15000,Beechville,Halifax Regional Municipality,B3T1A2,2018 - 2019,-63.690551,44.636774,POINT (-63.690551 44.636774)
Ven-Rez Products Ltd,Advanced Manufacturing,Export Growth Program,4915,Shelburne,Shelburne,B0T1W0,2018 - 2019,-65.41816,43.66134,POINT (-65.41816 43.66134)
Xeos Technologies Inc,Oceans Technology,Export Growth Program,15000,Dartmouth,Halifax Regional Municipality,B3B1L6,2018 - 2019,-63.604817,44.715039,POINT (-63.604817 44.715039)
APPILI Therapeutics,Life Sciences,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3H1A8,2018 - 2019,-63.573789,44.624478,POINT (-63.573789 44.624478)
Bereda Training Inc.,ICT (includes Digital Media),Export Growth Program,927,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Black Star Wealth Partners,Business Services,Export Growth Program,6125,Halifax,Halifax Regional Municipality,B3L1K9,2018 - 2019,-63.599571,44.649413,POINT (-63.599571 44.649413)
Cabbage Patch Kimchi,Agri-food,Export Growth Program,800,Halifax,Halifax Regional Municipality,B3H2S9,2018 - 2019,-63.573625,44.634901,POINT (-63.573625 44.634901)
Gorgeous Mistake Productions,Film Production,Export Growth Program,6962,Dartmouth,Halifax Regional Municipality,B3A2Y3,2018 - 2019,-63.574093,44.673505,POINT (-63.574093 44.673505)
Graphite Innovation and Technologies Inc.,Advanced Manufacturing,Export Growth Program,7425,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
Nautics Group Inc.,Advanced Manufacturing,Export Growth Program,12925,Bedford,Halifax Regional Municipality,B4A1E2,2018 - 2019,-63.66463,44.728037,POINT (-63.66463 44.728037)
Nu-Air Ventilation Systems Inc,Advanced Manufacturing,Export Growth Program,12415,Windsor,Hants,B0N2T0,2018 - 2019,-64.318054,44.819594,POINT (-64.318054 44.819594)
Ocean Sonics Ltd,Oceans Technology,Export Growth Program,15000,Great Village,Colchester,B0M1L0,2018 - 2019,-63.662186,45.369405,POINT (-63.662186 45.369405)
Retail Deep,ICT (includes Digital Media),Export Growth Program,900,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489,POINT (-63.572554 44.644489)
Rebel Road Films,Film Production,Export Growth Program,500,Antigonish,Antigonish,B2G2L3,2018 - 2019,-62.100393,45.562152,POINT (-62.100393 45.562152)
Benjamin Bridge Vineyards,Agri-food,Export Growth Program,525,Wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
BlueLight Analytics Inc,Life Sciences,Export Growth Program,25000,Halifax,Halifax Regional Municipality,B3L4G4,2018 - 2019,-63.620539,44.642071,POINT (-63.620539 44.642071)
DGI Clinical Inc.,Life Sciences,Export Growth Program,12908,Halifax,Halifax Regional Municipality,B3J2E3,2018 - 2019,-63.576047,44.646813,POINT (-63.576047 44.646813)
EcoPilot Canada Inc.,Engineering & Professional,Export Growth Program,8137,Halifax,Halifax Regional Municipality,B3J3L7,2018 - 2019,-63.575048,44.649083,POINT (-63.575048 44.649083)
Nodalblock Canada Holdings Inc.,ICT (includes Digital Media),Export Growth Program,2500,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
Novonix Battery Testing Services Inc,Energy,Export Growth Program,4550,Bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
Precision BioLogic Incorporated,Life Sciences,Export Growth Program,15000,Dartmouth,Halifax Regional Municipality,B3B0A9,2018 - 2019,-63.573165,44.695212,POINT (-63.573165 44.695212)
Tri-Star Industries Limited,Advanced Manufacturing,Export Growth Program,4675,Yarmouth,Yarmouth,B5A4B4,2018 - 2019,-66.118319,43.842674,POINT (-66.118319 43.842674)
World Link Food Distributors Inc,Fish & Seafood Processing,Export Growth Program,2450,Enfield,Halifax Regional Municipality,B2T1K3,2018 - 2019,-63.52380855,44.8796973,POINT (-63.52380855 44.8796973)
Climate Technical Gear,Advanced Manufacturing,Export Growth Program,12275,Dartmouth,Halifax Regional Municipality,B3B1S2,2018 - 2019,-63.592089,44.695586,POINT (-63.592089 44.695586)
DynaGen Technologies Incorporated,Advanced Manufacturing,Export Growth Program,5800,Dartmouth,Halifax Regional Municipality,B3B1W8,2018 - 2019,-63.579683,44.70058,POINT (-63.579683 44.70058)
Freshify Inc,Advanced Manufacturing,Export Growth Program,7494,Wolfville,Kings,B4P1P8,2018 - 2019,-64.37466729,45.08579837,POINT (-64.37466729 45.08579837)
Midgard Insect Farm Inc,Agri-food,Export Growth Program,13555,Halifax,Halifax Regional Municipality,B3L1V1,2018 - 2019,-63.602803,44.654196,POINT (-63.602803 44.654196)
Ocean Pride Fisheries Limited (Atlantic Treasure Limited),Fish & Seafood Processing,Export Growth Program,5927,Lower Wedgeport,Yarmouth,B0W2B0,2018 - 2019,-65.97528,43.717172,POINT (-65.97528 43.717172)
Proven Marketing for Lawyers Inc.,Business Services,Export Growth Program,3246,Halifax,Halifax Regional Municipality,B3H4K6,2018 - 2019,-63.578788,44.637258,POINT (-63.578788 44.637258)
Vesuvius Media Ltd.,ICT (includes Digital Media),Export Growth Program,12808,Halifax,Halifax Regional Municipality,B3M1W8,2018 - 2019,-63.650445,44.676671,POINT (-63.650445 44.676671)
EOceans Research and Consulting Inc.,Oceans Technology,Export Growth Program,2800,Dartmouth,Halifax Regional Municipality,B2Y1T7,2018 - 2019,-63.555147,44.674503,POINT (-63.555147 44.674503)
I Matheson & Company (IMC) Ltd,Advanced Manufacturing,Export Growth Program,2100,New Glasgow,Pictou,B2H5E5,2018 - 2019,-62.612365,45.601704,POINT (-62.612365 45.601704)
JusNova Agriculture Ltd,Agri-food,Export Growth Program,12850,Halifax,Halifax Regional Municipality,B3M1N1,2018 - 2019,-63.641789,44.66397,POINT (-63.641789 44.66397)
MindSea Development Incorporated,ICT (includes Digital Media),Export Growth Program,25000,Halifax,Halifax Regional Municipality,B3J3M8,2018 - 2019,-63.5727,44.647395,POINT (-63.5727 44.647395)
Blois Fish Processing Automation Limited,Fish & Seafood Processing,Export Growth Program,13825,Dartmouth,Halifax Regional Municipality,B2V2S7,2018 - 2019,-63.476576,44.653288,POINT (-63.476576 44.653288)
Enginuity Inc.,Business Services,Export Growth Program,10315,Halifax,Halifax Regional Municipality,B3P1M1,2018 - 2019,-63.615546,44.619123,POINT (-63.615546 44.619123)
Fourth Wave Strategy Inc,Business Services,Export Growth Program,14901,Dartmouth,Halifax Regional Municipality,B2X3G1,2018 - 2019,-63.5417345,44.69860475,POINT (-63.5417345 44.69860475)
Allendale Electronics Ltd,Advanced Manufacturing,Export Growth Program,14000,Lockeport,Shelburne,B0T1L0,2018 - 2019,-65.12347,43.71839,POINT (-65.12347 43.71839)
Dragon Veterinary Canada Limited,ICT (includes Digital Media),Export Growth Program,15000,Bedford,Halifax Regional Municipality,B4A1H4,2018 - 2019,-63.674559,44.711731,POINT (-63.674559 44.711731)
Duckish Natural Skin Care Limited,Advanced Manufacturing,Export Growth Program,5047,Halifax,Halifax Regional Municipality,B3L1K1,2018 - 2019,-63.595101,44.649822,POINT (-63.595101 44.649822)
Romor Ocean Solutions,Oceans Technology,Export Growth Program,13697,Mount Uniacke,Hants,B0N1Z0,2018 - 2019,-63.870954,45.034086,POINT (-63.870954 45.034086)
Schoolhouse Gluten Free Gourmet Ltd.,Agri-food,Export Growth Program,2185,Mahone Bay,Lunenburg,B0J2E0,2018 - 2019,-64.307402,44.308292,POINT (-64.307402 44.308292)
Spritely Technologies Inc,ICT (includes Digital Media),Export Growth Program,7900,Halifax,Halifax Regional Municipality,B3S1E5,2018 - 2019,-63.665971,44.662523,POINT (-63.665971 44.662523)
Green Power Labs Inc,Energy,Export Growth Program,15000,Dartmouth,Halifax Regional Municipality,B2Y4M9,2018 - 2019,-63.542698,44.660305,POINT (-63.542698 44.660305)
Andrea Janzen Professional Coaching,Business Services,Export Growth Program,801,Halifax,Halifax Regional Municipality,B3L2S7,2018 - 2019,-63.599408,44.644887,POINT (-63.599408 44.644887)
Atlantic Ambassatours Ltd.,Business Services,Export Growth Program,3737,Halifax,Halifax Regional Municipality,B3K2V6,2018 - 2019,-63.619767,44.666131,POINT (-63.619767 44.666131)
Baie Run Pet Products Inc,Agri-food,Export Growth Program,14998,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157,POINT (-63.57606155 44.65201157)
Benjamin Bridge Vineyards,Agri-food,Export Growth Program,16350,Wolfville,Kings,B4P2R1,2018 - 2019,-64.403589,45.013938,POINT (-64.403589 45.013938)
Left Meets Right Creative Co,ICT (includes Digital Media),Export Growth Program,500,Halifax,Halifax Regional Municipality,B3K5V4,2018 - 2019,-63.614427,44.665139,POINT (-63.614427 44.665139)
RPS Composites Inc,Advanced Manufacturing,Export Growth Program,7500,Mahone Bay,Lunenburg,B0J2E0,2018 - 2019,-64.307402,44.308292,POINT (-64.307402 44.308292)
Ruby Tree Films Inc.,Film Production,Export Growth Program,4698,Halifax,Halifax Regional Municipality,B3J2A1,2018 - 2019,-63.573748,44.646552,POINT (-63.573748 44.646552)
Success Through Trust Inc,Business Services,Export Growth Program,4748,Halifax,Halifax Regional Municipality,B3L2H3,2018 - 2019,-63.626126,44.648102,POINT (-63.626126 44.648102)
Muwin Estate Wines Ltd,Agri-food,Export Growth Program,15000,New Ross,Lunenburg,B0J2M0,2018 - 2019,-63.916747,44.706544,POINT (-63.916747 44.706544)
Black Dog Films / The Monster Productions Inc,Film Production,Export Growth Program,21119,Halifax,Halifax Regional Municipality,B3L1P4,2018 - 2019,-63.598415,44.652126,POINT (-63.598415 44.652126)
GN Plastics Company Ltd.,Advanced Manufacturing,Export Growth Program,14525,Chester,Lunenburg,B0J1J0,2018 - 2019,-64.225079,44.560562,POINT (-64.225079 44.560562)
Keeping Roads Safe Technologies Inc,ICT (includes Digital Media),Export Growth Program,3000,Bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
Nautel Limited,Advanced Manufacturing,Export Growth Program,15000,Hacketts Cove,Halifax Regional Municipality,B3Z3J4,2018 - 2019,-63.852091,44.686573,POINT (-63.852091 44.686573)
Efficiency Properties,ICT (includes Digital Media),Export Growth Program,6600,Halifax,Halifax Regional Municipality,B3K3P2,2018 - 2019,-63.605039,44.668481,POINT (-63.605039 44.668481)
Aerovision Canada,Aerospace & Defence,Export Growth Program,3935,Beechville,Halifax Regional Municipality,B3T1A2,2018 - 2019,-63.690551,44.636774,POINT (-63.690551 44.636774)
Atlantic Sea Cucumber Ltd,Fish & Seafood Processing,Export Growth Program,14952,Hacketts Cove,Halifax Regional Municipality,B3Z3K7,2018 - 2019,-63.757708,44.662435,POINT (-63.757708 44.662435)
Focal Technologies Corporation,Oceans Technology,Export Growth Program,15000,Dartmouth,Halifax Regional Municipality,B3B1Z4,2018 - 2019,-63.587502,44.711855,POINT (-63.587502 44.711855)
Glas Ocean Electric Inc,Energy,Export Growth Program,14250,Halifax,Halifax Regional Municipality,B3P2H3,2018 - 2019,-63.577884,44.615051,POINT (-63.577884 44.615051)
Picture Plant Ltd.,Film Production,Export Growth Program,4089,Bridgewater,Lunenburg,B0J2C0,2018 - 2019,-64.309889,44.37635,POINT (-64.309889 44.37635)
Red Dragon Marketing,Business Services,Export Growth Program,8180,Windsor,Hants,B0N2T0,2018 - 2019,-64.318054,44.819594,POINT (-64.318054 44.819594)
Roswall Development Incorporated,Energy,Export Growth Program,1000,Halifax,Halifax Regional Municipality,B3M2L3,2018 - 2019,-63.66099,44.683287,POINT (-63.66099 44.683287)
Strongest Families Institute,Business Services,Export Growth Program,8925,Lower Sackville,Halifax Regional Municipality,B4C4E6,2018 - 2019,-63.65843038,44.7606098,POINT (-63.65843038 44.7606098)
2 Crows Brewing Ltd,Agri-food,Export Growth Program,4675,Halifax,Halifax Regional Municipality,B3J2G7,2018 - 2019,-63.578146,44.649349,POINT (-63.578146 44.649349)
902HipHop Inc.,ICT (includes Digital Media),Export Growth Program,14868,Halifax,Halifax Regional Municipality,B3K4N7,2018 - 2019,-63.594931,44.654736,POINT (-63.594931 44.654736)
Canada Rope & Twine Limited,Advanced Manufacturing,Export Growth Program,13675,Bedford,Halifax Regional Municipality,B4B1H1,2018 - 2019,-63.710231,44.722456,POINT (-63.710231 44.722456)
GeoNavo Positioning Systems Inc,ICT (includes Digital Media),Export Growth Program,13750,Hammonds Plains,Halifax Regional Municipality,B4B2B8,2018 - 2019,-63.800164,44.734087,POINT (-63.800164 44.734087)
Hoppy's Safety Hook Enterprise,Advanced Manufacturing,Export Growth Program,1640,Saulnierville,Digby,B0W2Z0,2018 - 2019,-65.974666,43.730094,POINT (-65.974666 43.730094)
Lorax Systems Inc,Energy,Export Growth Program,4178,Dartmouth,Halifax Regional Municipality,B3B1S8,2018 - 2019,-63.588536,44.700833,POINT (-63.588536 44.700833)
Manage Your Spend,ICT (includes Digital Media),Export Growth Program,3322,Halifax,Halifax Regional Municipality,B3J3Z2,2018 - 2019,-63.569364,44.643446,POINT (-63.569364 44.643446)
Outdoor-Fit Exercise Systems,Advanced Manufacturing,Export Growth Program,7000,Dartmouth,Halifax Regional Municipality,B3B1M3,2018 - 2019,-63.611768,44.703405,POINT (-63.611768 44.703405)
Pelagis Data Solutions,Oceans Technology,Export Growth Program,5475,Point Edward,Cape Breton,B2A4R2,2018 - 2019,-60.276693,46.162688,POINT (-60.276693 46.162688)
Pictou Twist Pictures Inc,Film Production,Export Growth Program,7037,Halifax,Halifax Regional Municipality,B3J1J7,2018 - 2019,-63.573178,44.645217,POINT (-63.573178 44.645217)
Sales Beacon,ICT (includes Digital Media),Export Growth Program,4648,Brooklyn,Lunenburg,B0J1H0,2018 - 2019,-64.710851,44.055473,POINT (-64.710851 44.055473)
Side Door Access Inc,ICT (includes Digital Media),Export Growth Program,1375,Halifax,Halifax Regional Municipality,B3K1H1,2018 - 2019,-63.588243,44.6524635,POINT (-63.588243 44.6524635)
Smarter Spaces Inc,Business Services,Export Growth Program,3349,Halifax,Halifax Regional Municipality,B3K5M4,2018 - 2019,-63.590281,44.662737,POINT (-63.590281 44.662737)
WarrierTech Inc,ICT (includes Digital Media),Export Growth Program,14979,Halifax,Halifax Regional Municipality,B3H1Y1,2018 - 2019,-63.5849,44.640901,POINT (-63.5849 44.640901)
SimplyCast Interactive Marketing LTD.,ICT (includes Digital Media),Export Growth Program,2625,Dartmouth,Halifax Regional Municipality,B2W6E2,2018 - 2019,-63.535262,44.681461,POINT (-63.535262 44.681461)
Omnitech Electronics Inc,Oceans Technology,Export Growth Program,12500,Dartmouth,Halifax Regional Municipality,B3B1J4,2018 - 2019,-63.611144,44.704132,POINT (-63.611144 44.704132)
TerraProForma (FORMERLY - Play the Field),ICT (includes Digital Media),Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3H3W5,2018 - 2019,-63.593067,44.632894,POINT (-63.593067 44.632894)
Javitech Atlantic Ltd,Business Services,Export Growth Program,3081,Halifax,Halifax Regional Municipality,B3M2L8,2018 - 2019,-63.660842,44.693973,POINT (-63.660842 44.693973)
Allswater Marine Consultants Ltd,Oceans Technology,Export Growth Program,5300,Bedford,Halifax Regional Municipality,B4A1B9,2018 - 2019,-63.673227,44.719376,POINT (-63.673227 44.719376)
Atlantic Prepaid,ICT (includes Digital Media),Export Growth Program,24207,Lower Sackville,Halifax Regional Municipality,B4C2R3,2018 - 2019,-63.66590854,44.7542213,POINT (-63.66590854 44.7542213)
Blue Ocean Contact Centers,Business Services,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3L4V2,2018 - 2019,-63.623858,44.653361,POINT (-63.623858 44.653361)
Classic Fine Foods,Agri-food,Export Growth Program,1700,Edwardsville,Cape Breton,B2A4S6,2018 - 2019,-60.22160264,46.15678026,POINT (-60.22160264 46.15678026)
Cut/Off/Tail Pictures,Film Production,Export Growth Program,1500,Halifax,Halifax Regional Municipality,B3V1M4,2018 - 2019,-63.653534,44.471319,POINT (-63.653534 44.471319)
First Catch Fisheries Co. Ltd,Fish & Seafood Processing,Export Growth Program,14250,Enfield,Hants,B2T1E4,2018 - 2019,-63.5174,44.886106,POINT (-63.5174 44.886106)
Ocean Perfect North America Inc.,Fish & Seafood Processing,Export Growth Program,4325,Enfield,Halifax Regional Municipality,B2T1K3,2018 - 2019,-63.52380855,44.8796973,POINT (-63.52380855 44.8796973)
Picture Plant Ltd.,Film Production,Export Growth Program,2275,Bridgewater,Lunenburg,B0J2C0,2018 - 2019,-64.309889,44.37635,POINT (-64.309889 44.37635)
Skye Larke Productions Limited,Film Production,Export Growth Program,12020,River John,Pictou,B0K1N0,2018 - 2019,-63.041939,45.747988,POINT (-63.041939 45.747988)
SOHMA Naturals,Life Sciences,Export Growth Program,4500,Digby,Digby,B0V1A0,2018 - 2019,-65.84642,44.536344,POINT (-65.84642 44.536344)
The Discovery Centre International Inc.,Business Services,Export Growth Program,15000,Halifax,Halifax Regional Municipality,B3J3S8,2018 - 2019,-63.568235,44.64141,POINT (-63.568235 44.64141)
The Family Knife Marketing Consultancy Inc.,Business Services,Export Growth Program,5150,Halifax,Halifax Regional Municipality,B3L3G5,2018 - 2019,-63.613647,44.643919,POINT (-63.613647 44.643919)
Twirp Communications,Business Services,Export Growth Program,6600,Hammonds Plains,Halifax Regional Municipality,B4B1M2,2018 - 2019,-63.75765119,44.69567657,POINT (-63.75765119 44.69567657)
Ven-Rez Products Ltd,Advanced Manufacturing,Export Growth Program,2386,Shelburne,Shelburne,B0T1W0,2018 - 2019,-65.41816,43.66134,POINT (-65.41816 43.66134)
Vertical Productions Inc.,Film Production,Export Growth Program,5870,Head Of St Margarets Bay,Halifax Regional Municipality,B3Z2G5,2018 - 2019,-63.90069908,44.68497759,POINT (-63.90069908 44.68497759)
B4Checkin Limited,ICT (includes Digital Media),Export Growth Program,4546,Halifax,Halifax Regional Municipality,B3J3S9,2018 - 2019,-63.586911,44.640361,POINT (-63.586911 44.640361)
