producer,contact_name,street_address,city,province,postal_code,phone,fax,email,website,hours,brands
Ebbett's Meadow Brook Farm Market,Joe or Lorenda Ebbett,8647 Highway 311,Tatamagouche,Nova Scotia,B0K 1V0,(902) 657-2122,(902) 657-0371,meadowbrook@seasidehighspeed.com,http://www.ebbettsmeadowbrook.com,Monday-Wednesday closed Thursday & Friday 10-5 Saturday 10-4 Sunday 12-4,"Bragg, Camino, Celtic Sea Salt, Eden, Inari, Namaste, Simply Organic, Stash Tea"
Elderkin's Farm Market & Cider Company,Peter Elderkin,"10362 Hwy 1, RR #2 Wolfville",Wolfville,NULL,B0P 1X0,(902) 542-7198,(902) 542-3842,elderkinsapples@accesswave.ca,NULL,"U-Pick for strawberries, apples, pears and pumpkins. Wide variety of apples including Honeycrisp.  For all U-picks please call ahead for hours and season of operation.  A full-line farm market featuring Elderkin's hard apple cider, a scratch bakery, plants and gifts. Farm tours available.  Open Year Round.",NULL
Ellora Natural & Organic Food,NULL,3772  Hwy 331,LaHave,Nova Scotia,B0R 1C0,NULL,NULL,NULL,NULL,NULL,NULL
Elmridge Farm Ltd,NULL,765 Bains Road RR2,Centerville,NULL,B0P 1J0,(902) 582-7203,NULL,greg@elmridgefarm.com,http://www.elmridgefarm.com,NULL,NULL
Evan's Family Farm Market,NULL,13482 Hwy 1,Wilmot,Nova Scotia,B0P 1W0,(902) 825-4416,NULL,terryfevans@msn.com,http://www.evansfamilyfarmmarket.com/,For all U-picks please call ahead for hours and season of operation.,NULL
Eyking Farms,John Eyking Jr.,300 Millville Highway,Millville,NULL,B1Y 2E2,1 (902) 674-2777,NULL,john.eyking@eykingfarms.ca,http://www.eykingfarms.ca,NULL,NULL
Eyking Under Glass,Chris Eyking,"289 Millville Hwy, Millville",Cape Breton,NULL,B1Y 2E1,1 (902) 674-2825,1 (902) 674-2858,NULL,NULL,NULL,NULL
Falmouth Fruit & Vegetable Company Ltd.,"Robert & Janice Hines, owners",2053 Hwy #1,Falmouth,Nova Scotia,B0P 1L0,(902) 798-0200,(902) 472-3334,ffv@eastlink.ca,NULL,"Daily, 9am to 8pm",NULL
Fancy Lebanese Bakery,"Mary Laba, President",2595 Agricola Street,Halifax,NULL,B3K 5M8,(902) 429-0400,NULL,fancylebanese@eastlink.ca,NULL,NULL,Fancy Lebanese Bakery
Farmer John's Herbs,"John Lohr, Stephen McCulley, Elaine Godin",44 North Medford Road,Canning,Nova Scotia,B0P 1H0,(902) 582-3252,(902) 582-7733,jellycupboard@ns.sympatico.ca,http://www.farmerjohnsherbs.com,NULL,Farmer Johns Herbs
Farmers Co-operative Dairy Limited,Alfred Jennings,745 Hammonds Plains Road,Bedford,NULL,B4B 1A8,(800) 590-6455,(902) 835-1583,NULL,http://www.farmersdairy.ca,NULL,"Farmers, Farmers Twist & Go"
Fiore Botanica Natural Skin Care®,Kathleen Quinlan and Phaedra Charlton-Huskins,255 Lincoln,Lunenburg,Nova Scotia,B0J 2C0,(844) 805-5444,NULL,sales@fiorebotanica.com,http://www.fiorebotanica.com,Fall Wednesday-Sunday 10-6 End of November to Christmas - everyday 10-6 Winter Wednesday - Sunday 12-6,NULL
FireHouse Ironworks Ltd.,Grant Haverstock,109 Main Street,Whycocomagh,Nova Scotia,B0E 3M0,1 (902) 756-4766,NULL,info@firehouseironworks.com,http://firehouseironworks.com,"Monday to Friday, 9am - 4:30pm",NULL
Fireside Kitchen,Cindy Kingwell,3430 Prescott Street,Halifax,NULL,B3K 4Y4,1 (902) 454-7389,1 (902) 453-0275,ckingwell@eastlink.ca,http://www.prescottgroup.ca,NULL,Fireside Kitchen
Fisherman's Market International Inc.,MORGAN THORNHILL,607 Bedford Highway,Halifax,NULL,B3M 2L6,(902) 443-3474,(902) 446-3016,MORGAN@FMII.COM,http://www.fishermansmarket.com,9-6 M-S 11-6 SUNDAY,NULL
Flameworks Elixirs,Sue Belford or Ken Jones,35 Newcastle Street,Dartmouth,Nova Scotia,B2Y3M6,(902) 441-0676,NULL,flameworksbbq@gmail.com,http://www.flameworkselixirs.com,"Halifax Brewery Market 8am to 1 pm Saturdays. Check retail hours for Pete's Halifax, Pete's Bedford, Chater Meat Market, 2 Boyz Smokehouse and Deli, Hooked Halifax and Nine Locks Brewery.",NULL
Folly Mountain Christmas Trees & Blueberries,Diane Robinson,10784 Hwy 2,Masstown,NULL,B0M 1G0,(902) 662-3003,NULL,NULL,NULL,Varies - 10:00 unitl sold out each day in Seasons,NULL
Foote Family Farm,George or Trina Foote,1972 Woodville Road,Woodville,NULL,B0P 1G0,1 (902) 678-4371,1 (902) 678-1375,NULL,http://www.footefamilyfarm.com,For all U-picks please call ahead for hours and season of operation.,Foote Family Farm
Foote's Farm Market,Kimberley or Brad Foote,1744 Highway 359,Centreville,Nova Scotia,B0P 1J0,1 (902) 678-5253,NULL,shop@footesfarmmarket.com,http://www.footesfarmmarket.com,Monday to Sunday 9am - 8pm,NULL
Forest Hill Farm,NULL,1008 Chebogue Rd.,Yarmouth,NULL,B5A 4A6,1 (902) 742-9895,NULL,foresthillfarm@eastlink.ca,NULL,NULL,NULL
Forest Hills Wild Blueberries,George Johnson,497 station Road,Great Village,Nova Scotia,B0M 1L0,(902) 897-3750,NULL,NULL,http://www.foresthillswildblueberries,NULL,NULL
Forever Green Farm and Gardens,Terrance Boyle,RR#1 Afton,Antigonish Co.,Nova Scotia,B0H 1A0,1 (902) 863-7845,1 (902) 232-3317,info@boylesforevergreenorganic.com,NULL,"Available through Sea Spray Atlantic, Antigonish Farmers Market and on-farm store.",NULL
Forsyth's Farm Market,NULL,3759 Hwy 1,Berwick,Nova Scotia,B0P 1E0,(902) 538-9321,NULL,NULL,NULL,Open 9AM - 8PM seven days a week Open May to November,NULL
Fortress Rum,NULL,Guysborough,80 Main Street,Nova Scotia,B0H 1N0,(902) 533-2078,NULL,info@fortressrum.com,http://www.fortressrum.com/,NULL,NULL
Four Seasons Farm,Owen Roberts and Sina Wagner,RR # 1 Maitland,Maitland,Nova Scotia,B0N 1T0,(902) 261-2345,(902) 261-2345,info@fourseasonsfarm.ca,http://www.fourseasonsfarm.ca,"Regular deliveries to restaurants and hotels.   Farm is certified organic, established in 1992.  Washed, fresh salad mix is main product.  Available at Halifax Farmers Market and Planet Organic (Hfx).",NULL
Fox Hill Cheese House,Rick Rand,1678 Church Street,Port Williams,Nova Scotia,B0P 1T0,1 (902) 542-3599,NULL,foxhillfarm@ns.sympatico.ca,http://www.foxhillcheesehouse.com,"On farm retail store in Port Williams: Open Year Round! Monday to Saturday 10 am - 6 pm, Sunday 1 - 6 pm  Halifax Seaport Farmers' Market Location (1209 Marginal Road) Monday: Closed Tuesday: 8 am - 5 pm Wednesday: 8 am - 5 pm Thursday: 8 am - 5 pm Friday: 8 am - 6 pm Saturday: 7 am - 4 pm Sunday: 8 am - 5 pm  Wolfville Farmers' Market Saturday Year Round: 8:30 am - 1 pm Wednesday (June - Dec): 4 - 7 pm  New in 2011 - Pasteurized, non-homogenized milk in glass one litre bottles available at Port Williams retail location and Seaport Farmers Market!  Check website for details on other locations where their products are available.",Fox Hill Cheese
Fox Hollow Dairy Ltd.,"John Fox, General Manager, Ken Fox",RR # 3 Middle Musquodoboit,Middle Musquodoboit,Nova Scotia,B0N 1X0,1 (902) 384-2275,NULL,NULL,NULL,NULL,Greta
Fralen Farms,NULL,769 Northfield Road,Upper Kennetcook,NULL,B0N 2L0,(902) 369-2586,NULL,NULL,NULL,"Farm gate sales, open 6 days a week. Freezer orders of naturally raised pork (no antibiotics, no animal by products in feed). Call ahead. Also sells natural feed",NULL
Free Spirit Farm,Rodney Spencer and Susan Danko,8915 Hwy 311,Tatamagouche,Nova Scotia,B0K 1V0,1 (902) 897-5817,NULL,info@freespiritfarm.ca,http://www.freespiritfarm.ca,NULL,NULL
Front Porch Farm,Peter LeBlanc,NULL,Margaree Forks,Nova Scotia,NULL,NULL,NULL,petermleblanc@gmail.com,http://www.frontporchfarm.ca/,NULL,NULL
Full Steam Coffee Company,Susan Sangster,67 Main St,Guysborough,Nova Scotia,B0H 1N0,(902) 533-2078,NULL,info@fullsteamcoffee.com,http://www.fullsteamcoffee.com,NULL,Full Steam Coffee
Fuller Brothers,NULL,224 Bluff Road,Avonport,Nova Scotia,B0P 1B0,1 (902) 542-1825,NULL,NULL,NULL,Pre-picked honeycrisp apples in season.,NULL
Fundy Dulse,Wanda VanTassel,679 Gullivers Cove,Digby,NULL,B0V 1A0,(902) 245-4388,NULL,wanda@fundydulse.ca,http://www.fundydulse.com,"Products available in Sobeys stores, Petes Frootique (Bedford and Dartmouth), Foodland,  Price choppers, convience stores, and numerous Farm markets.  Products also available as mail orders.   Also, we invite you to explore the beautiful scenic Fundy beaches and cliff-side trails, be amazed by the towering rock formations above you and humbled by the tides beneath. Check out www.fundyadventures.com for more info.",NULL
Funky Farmgate Farmers Market,Louise Parker,485 Hwy 2,Enfield,Nova Scotia,B2T 1M4,(902) 488-3937,NULL,funkyfarmgatemanager@gmail.com,NULL,9am to 1pm From second Saturday in June to last Saturday in October.,NULL
G.G. Smeltzer and Son,NULL,"39 Robinson Road, PO Box 325",Shubenacadie,NULL,B0N 2H0,(902) 758-2117,NULL,NULL,NULL,NULL,NULL
Galloping Cows Fine Food,Joanne Schimdt,59 Justin Road,Port Hood,NULL,B0E 2W0,1 (902) 787-3484,1 (902) 787-2370,info@gallopingcows.com,http://www.gallopingcows.com,NULL,Galloping Cows
Gamborganic Farms,NULL,1354 Fed Rd.,Bear River East,Nova Scotia,B0S 1B0,1 (902) 467-3358,1 (902) 467-0298,gamborg@eastlink.ca,NULL,NULL,NULL
Garrison Brewing Co.,"Brian Titus, Todd Hoffman",1149 Marginal Road,Halifax,NULL,B3H 4P7,(902) 453-5343,(902) 453-4672,beer@garrisonbrewing.com,http://www.garrisonbrewing.com,NULL,Garrison
Gaspereau Valley Fibres,"Brenda Gilmore, David sogorka",830 Gaspereau River Road,Wolfvile,Nova Scotia,B4P 2N5,(902) 542-2656,NULL,brenda@gaspereauvalleyfibres.ca,http://www.gaspereauvalleyfibres.ca,"Open year round,  Tuesday 10am – 9pm Wednesday – Friday 10am – 5pm  Sat and Sun 11am – 4pm  We have sheep skins, yarn and fibre from Cotswold sheep. We also have two free knitting circles on Tuesday evenings from 6pm - 9pm and Thursday afternoon from 1pm - 5pm.",NULL
Gaspereau Vineyards,Hans Christian Jost,2239 White Rock Road,Gaspereau,NULL,B4P 2R1,(902) 542-1455,(902) 542-1455,info@gaspereauwine.com,http://www.gaspereauwine.com,Open mid-May till mid-December from 9am-6pm.,NULL
Gates U-Pick,NULL,1263 Starr's Point Road,Port Williams,Nova Scotia,B0P 1T0,(902) 542-9340,NULL,mlgates@eastlink.ca,http://www.gatesupick.com,"Over 20 varieties of apples grown ensuring there is a ripe apple from early September to late October. Including MacIntosh, Cortlands, Red Delicious, and spys. All you can eat apples while picking!   We specialize in educational school tours. Free wagon rides offering an educational experience to get into the orchard and learn about apple growign. Group tours welcome.   Please call to make an appointment. Open September and October.",NULL
Getaway Farm,Chris de Waal,617 Gospel Road,Canning,Nova Scotia,B0P 1H0,1 (902) 582-7721,NULL,info@getawayfarm.ca,http://www.getawayfarm.ca,"Available from our farm, and the Halifax Seaport Farmers' Markets 3 days a week - Sat, Sun and Wed.",NULL
Getaway Farm (Hydrostone),NULL,5544 Kaye St,Halifax,Nova Scotia,B3K 1Y5,1 (902) 266-6328,NULL,INFO@HIGHLANDDRIVE.CA,http://highlanddrive.ca/,MONDAY CLOSED Tuesday to Friday 10am - 6pm Saturday 9am - 6pm Sunday 11am - 5pm,NULL
Getaway Farm Butcher Shop,NULL,1209 Marginal Road,Halifax,Nova Scotia,B3H 4P8,(902) 266-6328,NULL,NULL,NULL,NULL,NULL
Glad Gardens,Daina Budde,5108 Highway 1,Waterville,Nova Scotia,B0P 1V0,(902) 538-8688,NULL,grow@gladgardens.ca,http://www.gladgardens.ca,"Open May until end of October  Doors open 9 am, 7 days a week",NULL
Glass Whale Glassware,Ken MacDonald,63 Hummingbird Lane,Hammonds Plains,Nova Scotia,B3Z1N7,1 (902) 401-1897,NULL,info@glasswhale.com,http://www.glasswhale.com,NULL,NULL
Glenhill Farm Ltd.,Sid Taylor,2146 Lochaber Road,Antigonish County,Nova Scotia,B2G 2L3,1 (902) 783-2787,NULL,staylor@stfx.ca,NULL,"Also pre-picked fruit, roadside stand, fresh fruit desserts and home made jams.  For all U-picks please call ahead for hours and season of operation.",NULL
Glenora Distillery,NULL,13727 Route 19,Glenville,NULL,B0E 1X0,(902) 787-3484,NULL,info@glenora1.ca,http://www.glenoradistillery.com,NULL,NULL
Glenryan Farms,Kimberly Tilsley,"484 Coady Road, RR # 1 Margaree Harbour",Margaree Harbour,Nova Scotia,B0E 2B0,(902) 248-2572,NULL,glenryan.farm@gmail.com,NULL,"Available direct from the farm, and at the Cape Breton Farmers Market",NULL
GLYNNEVAN Whisky,John Stapleton,80 Main Street,Guysborough,Nova Scotia,B0H 1N0,1 (902) 533-2078,NULL,info@glynnevan.com,http://glynnevan.com,NULL,NULL
Good Thyme Farm,Rebecca Jones,22 Cold Spring Head Rd,Amherst Shore,Nova Scotia,B0L 1E0,(902) 297-1687,NULL,goodthymefarm@gmail.com,http://www.goodthymefarm.ca,Farm stand hours 12:00pm - 6:00pm June - end of September,NULL
GoodLeaf Farms,Office Manager,90 Research Drive,Bible Hill,Nova Scotia,B6L 2R2,(902) 843-5160,NULL,wdelaney@goodleaffarms.com,http://www.GoodLeafFarms.com,"Monday to Friday, 8AM - 4PM.",Market Garden
Goodness To Go Energy,"Jessica Sollows, Owner",50 Aquatic Dr,Yarmouth,Nova Scotia,B5A5G1,(902) 815-6465,NULL,info@goodnesstogoenergy.com,http://www.goodnesstogoenergy.ca,0800-2100,Goodness to Go Energy
Grand Pre Wines Ltd.,Amy Savoury,11611 Hwy #1,Grand Pre,NULL,B0P 1M0,(902) 542-1753,(902) 542-0060,mail@grandprewines.ns.ca,http://www.grandprewines.com,NULL,"Domaine de Grand Pre, Stutz Hard Apple Cider"
Grass Roots Farm,Bob Bottenbrite and Jane Smith,1502 South Rawdon Rd. Hwy 202,"South Rawdon, Mt. Uniacke",NULL,B0N 1Z0,1 (902) 866-2273,NULL,lietash@lietash.com,http://www.grassrootsfarm.com,"Farm is open anytime, just call ahead of time.  We also make deliveries regularly to Lower Sackville and Cole Harbour Place.",NULL
Graves ValuFoods,NULL,49 Queen Street,Bridgetown,Nova Scotia,B0S 1C0,1 (902) 665-4777,NULL,NULL,NULL,NULL,NULL
Green Dragon Organic Farm and B&B,Gerlinde Pilgrimm and Stephan Hederich,3082 Balmoral Rd,Tatamagouche,Nova Scotia,B0K 1V0,1 (902) 657-0081,NULL,greendragon@seasidehighspeed.com,NULL,"Products available at the farm gate, Tatamagouche Farmers Market, or delivery available to Halifax, Truro and Pictou  Our entire farm is Certified biodynamic by Demeter Canada",NULL
Greens of Haligonia,NULL,6390 Cork St,Halifax,Nova Scotia,B3L 1Z2,1 (902) 403-3530,NULL,hello@greensofhali.ca,http://www.greensofhali.ca,NULL,NULL
Greenwood Mall Farmers Market,Jennifer Chrisopherson,"Greenwood Mall, 963 Central Avenue",Kingston,NULL,B0P 1R0,1 (902) 890-0890,NULL,greenwoodmallfarmersmarket@hotmail.com,NULL,Thursdays 12 - 4 pm Year-round  Summer market located outdoors near Home Hardware entrance,NULL
Gudi's Bavarian Sausage Station & Express,Gudi Loeffler,P.O. Box 306,Debert,Nova Scotia,B0M 1G0,1 (902) 662-2744,NULL,loeffler@ns.sympatico.ca,http://www.trurofarmersmarket.org/vendors/gudis-bavarian-sausage-station...,"Truro Farmers' Market (Old Fire Hall, corner of Young and Prince Street) from April to December. At the Meat Shop in Debert by appointment.  Offering a Variety of 7 different Kinds of Fresh German Sausages, ranging from mild-spicy, incl. Breakfast, Bratwurst,Donair Sausages, Italian and more; Containing only quality lean meat and no Fillers nor Preservatives!  Home cooked Deli Style Sauerkraut & Sauerkraut Salad are also available.",Gudi's Bavarian Sausages
Guneden Place Ltd,Nahman Korem,2 Crown Lane,Baddeck,Nova Scotia,B0E 1B0,NULL,NULL,info@guneden.com,http://www.guneden.com,NULL,NULL
Guysborough Community Market Co-operative,NULL,"Jost Building, Guysborough Waterfront, 72 Main Street Extension",Guysborough,Nova Scotia,B0H 1N0,(902) 800-0300,NULL,NULL,NULL,"Saturdays, 9 am - 12 noon, July - Aug",NULL
Guysborough County Inshore Fisherman's Association,NULL,990 Union StreetPO Box 98,Canso,NULL,B0H 1H0,(902) 366-2266,NULL,gcifa@gcifa.ns.ca,http://www.gcifa.ns.ca,"The trap - caught shrimp is available at several Halifax Locations including: Fishermen's Market, Pete's Frootoque, and Home Grown Organic Foods",NULL
Halifax Brewery Market,Alison Lynes,1496 Lower Water Street,Halifax,Nova Scotia,B3J 1R9,1 (902) 329-3276,NULL,hello@halifaxbrewerymarket.com,http://www.halifaxbrewerymarket.com,OPEN YEAR ROUND Wholesale Hour Saturdays 7am - 8am Farmers Market Saturdays 8am - 1pm,NULL
Halifax Forum Farmers' Market,John Sipos,2901 Windsor St,Halifax,Nova Scotia,B3K 5E5,(902) 830-2027,NULL,NULL,NULL,Every Saturday from 8:00am to 1:00 pm,NULL
Halifax Seaport Farmers' Market,Customer Service,1209 Marginal Road,Halifax,Nova Scotia,B3H 4P8,1 (902) 492-4043 x101,NULL,welcome@halifaxfarmersmarket.com,http://halifaxfarmersmarket.com/,"Monday-Friday 10:00 a.m. - 5:00 p.m., Saturday 7:00 a.m. - 3:00 p.m. and Sunday 9:00 a.m. - 3:00 p.m.",NULL
Halifax Seed,NULL,5860 Kane Street,Halifax,Nova Scotia,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Halliday's U-pick,NULL,4613 Granville Rd.,Granville,NULL,B0S 1K0,1 (902) 532-5379,NULL,NULL,NULL,"Available in August and September. Pesticide free. Also pre-picked blueberries by pint, flat or larger quantities.  For all U-picks please call ahead for hours and season of operation.",NULL
Hampton Farms,Arthur Brown,8742 Highway 2,Southampton,Nova Scotia,B0M 1W0,1 (902) 877-9457,NULL,arthurbrown101@gmail.com,NULL,"11 a.m. to 6 p.m. Friday, Saturday, Sunday, Monday from April 1 to September 30.",NULL
Hanks Farm Market,NULL,581 King Grove Rd,Bras d'Or,NULL,B1Y 2E8,1 (902) 674-2646,1 (902) 674-2895,conradniesten@gardener.com,NULL,NULL,NULL
HardyWares Preserves,NULL,RR#1,NecumTeuch,Nova Scotia,B0J2K0,1 (902) 347-2675,NULL,info@hardywares.com,http://www.hardywares.com,NULL,NULL
Harmeny Woolen Mill,Ruth Mathewson,989 Upper Brookside Road,Central North River,Nova Scotia,B6L 6W6,(902) 897-7708,NULL,ruth@woolies.ca,NULL,By appointment or by chance.  We are a working sheep farm so please call/text/email before visiting. Thank you kindly.,NULL
Harry Morse's U-Pick,NULL,4127 Brooklyn Street,Somerset,NULL,B0P 1E0,(902) 538-9389,NULL,NULL,NULL,U-pick strawberries. Pre-picked berries also available (July). Canteloupe and peppers in season (August).  For all U-picks please call ahead for hours and season of operation.,NULL
Harvest Wines & Spirits,NULL,268 Baker Drive,Dartmouth,Nova Scotia,B2W 6L4,NULL,NULL,NULL,NULL,NULL,NULL
haskapa Haskap Berry Products,NULL,605-607 Main St,Mahone Bay,Nova Scotia,B0J 2E0,1 (902) 624-8039,NULL,info@haskapa.com,http://www.haskapa.com,Summer: 7 days: 10-5 Mon-Sat 12-5 Sunday Winter: Nov-Dec 7 Days 10-5 Mon-Sat 12-5 Sunday / Jan-May Fri-Sat 10-5,NULL
Haveracres Farm,NULL,318 St. Joseph's Road,Antigonish,Nova Scotia,B2G 2K8,1 (902) 863-5763,NULL,jason.nicole@ns.sympatico.ca,NULL,For all U-picks please call ahead for hours and season of operation.,NULL
Hawthorn Hill Farm,Marilyn and Paul Cameron,409 Arnold Road,Grafton,Nova Scotia,B0P 1V0,(902) 538-1141,NULL,maricam@eastlink.ca,NULL,Anytime,NULL
Heart and Soil CSA Farm,Laura VanHattem-Contant,271 Burgess Mountain Road,Woodville,NULL,B0P 1G0,1 (902) 679-1496,NULL,laura@heartandsoil.ca,http://www.heartandsoil.ca,"Community Shared Agriculture (CSA) program - weekly produce box for shareholders. Season from June to October. Drop-off locations in Cambridge, Kentville and Wolfville.",NULL
Hedgerow Flower Company,Eileen Rapsey,"Annapolis Royal Market, St George St, Annapolis Royal, NS B0S 1A0",New Tusket,Nova Scotia,B0S 1A0,(902) 817-6765,NULL,eileen@hedgerowflowercompany.com,https://www.hedgerowflowercompany.com/,"Open by appointment.  For all enquiries contact us by phone, email or through social media.",NULL
Hennigar's Farm Market,Heather Hennigar,10272 Hwy 1,Wolfville,Nova Scotia,B4P 2R2,1 (902) 542-3503,1 (902) 542-7915,heather@hennigars.com,http://www.hennigars.com,"We are open from April to late December.  Farmers golf on our farm. U-Pick flowers.  For all U-Picks, please call ahead for hours and season of operation.",NULL
Hidden Meadow Farm,NULL,6708 Brookland Street,Lakeville,Nova Scotia,B4N 3V7,1 (902) 670-5365,NULL,stacycory@hotmail.com,NULL,"Open 9-5 seven days a week  We raise Heritage and rare livestock, Berkshire pigs , Highland cattle, Cotswold sheep, Heritage chicken and turkey as well as heirloom vegetables.  We are also members of:  Rare Breeds Canada, ACORN (ATLANTIC CANADIAN ORGANIC REGIONAL NETWORK) &  COG (CANADIAN ORGANIC GROWERS)",NULL
Hidden Mountain Maple Farms,Matthew Harrison,1889 Lynn Road,Southampton,Nova Scotia,B0M 1W0,(902) 694-2787,NULL,Hiddenmtnmaple@gmail.com,NULL,Generally daily from 9am to 5pm during maple season. Please call ahead to ensure we are around,NULL
High Ridge Vineyards,Kevin Hudson,98 Shore Rd.,Lower Debert,NS,B0M 1G0,(902) 890-1537,NULL,khudson121@gmail.com,NULL,NULL,NULL
Highview Farm,NULL,1155 Grand Pre RoadRR 3,Wolfville,Nova Scotia,B4P 2R3,1 (902) 542-0214,NULL,hivu@msn.com,http://www.highviewhighlands.com/,Call to confirm  Product also available at the Halifax and Wolfville Farmers Market,NULL
Hilltop Designs,Andy Sherman,512 Victoria Rd,Aylesford,Nova Scotia,B0P1C0,1 (902) 680-6722,NULL,hilltopdesigns512@gmail.com,https://www.etsy.com/ca/shop/HilltopDesignsCanada?ref=seller-platform-mcnav,Always open,NULL
Hilly Acres Farm Ltd.,Theodore Eyking,289 Millville Hwy,Cape Breton,NULL,B1Y 2E3,1 (902) 674-2825,1 (902) 674-2858,NULL,NULL,NULL,"Farmer John, Eyking Delite"
Holdanca Farms Ltd.,John Duynisveld,12628 Hwy 6,Wallace,Nova Scotia,B0K 1Y0,1 (902) 257-1871,NULL,j.duynisveld@ns.sympatico.ca,NULL,NULL,NULL
Holmestead Cheese Sales Inc.,"Susan Tziolas, Nick Tziolas",2439 Harmony Road,Aylesford,Nova Scotia,B0P 1C0,(902) 847-9034,(902) 847-1797,sales@holmesteadcheesesales.com,http://www.holmesteadcheesesales.com/,NULL,Holmestead Cheese
Honey Wind Farm,Jerry Draheim,"7501 Route 321, RR # 2",Port Howe,NULL,B0K 1K0,1 (902) 447-2948,NULL,NULL,NULL,NULL,Honey Wind Farm
Hope Seeds,NULL,324 St. George Street,Annapolis Royal,Nova Scotia,B0S 1A0,1 (902) 286-4673,NULL,hopeseed@eastlink.ca,http://www.hopeseed.com/,Call for seasonal hours.,NULL
Horse & Garden Farm,Charlotte Harper,"1563 Wentworth Road, RR#1",Windsor,Nova Scotia,B0N 2T0,(902) 472-2498,NULL,horseandgardenfm@eastlink.ca,http://www.horseandgardenfarm.com,Community Shared Agriculture (CSA) program - weekly produce box for shareholders. Weekly share runs from mid-June to October. Deliveries to Halifax and local community.,NULL
Horyl's Superior Sausage Co. Ltd.,Frank Horyl,5247 Union HwyP.O. Box 128,New Waterford,NULL,B1H 4K4,1 (902) 862-7177,1 (902) 862-3168,NULL,NULL,Mon - Sat 9AM - 5PM,NULL
Howard Dill Enterprises,NULL,400 College Road,Windsor,NULL,B0N 2T0,1 (902) 798-2728,1 (902) 798-0842,NULL,http://www.howarddill.com,NULL,NULL
Hubbards Farmers Market,Ashley Marlin,"Hubbards Barn and Community Park, # 57 Hwy 3",Hubbards,NULL,B0J 1T0,1 (902) 277-1697,NULL,market@hubbardsbarn.org,http://www.hubbardsbarn.org,"Saturdays 8 am - 12 noon May to October    The Hubbards Farmers' Market is located in a beautiful old Barn in the middle of 6 acres of peaceful woodlands and fields.  Enjoy strolling along the woodland paths, visit with friends or make new ones on the south side patio. Have coffee and treats and watch the kids playing in the big sandbox or have a game of horseshoes.   Our vendors are from all points west and south of Halifax and Halifax too!  Their high quality wares include organic vegetables and herbs, berries, jams, jellies and pickles, beef, lamb, chicken and eggs, wine, fresh and smoked fish, cheese, yogurt and gelato, wonderfully aromatic breads, spice mixes, cookies, cakes, pies, organic cupcakes and amazing pizza, crepes, sausages and other treats for an impromptu picnic.  Coffee figures large for morning rituals, and lattes, espresso and capuccino are also on offer.  Flowers for a friend or just for you, perennials, herbs, dog treats, willow trellises and tables, baskets, quilts, bags, leather shoes and sandals, beautiful local photos, jewelry from beads and glass to silver and gold, soaps, hand-crafted furniture and inspired art cards.   Watch our revolving table for knitting, cranberries, and more.",NULL
Hubert and Belle's,Patti Durkee,3212 Highway 1,Port Maitlland,Nova Scotia,B5A5T3,1 (902) 746-3384,NULL,hubertandbelle@eastlink.ca,http://www.hubertandbelle.com,Open by chance or appointment during fall and winter. 10-5 Monday- Saturday during the summer,NULL
Hutten Family Farm,Ted and Debra Hutten,161 Thorpe Road,"Lakeville, NS",Nova Scotia,B4N 3V7,NULL,NULL,ted@hutten.org,NULL,"Community Shared Agriculture (CSA) program - where consumers purchase shares (either 12, 26 or 52 weeks) and receive a weekly box of seasonal produce. Delivery to drop-offs in Halifax, Kentville and Wolfville. See Hutten Family Farm website for details.  CSA is full subscribed (as of Mar 2012) but some shares may be available in the summer.   Farm also sells at Historic Halifax Farmers Market.",NULL
I.M.O. Foods Ltd.,NULL,26 Water St.,Yarmouth,NULL,B5A 4B2,1 (902) 742-3519,1 (902) 742-0908,imofoods@ns.sympatico.ca,http://www.imofoods.com,NULL,NULL
In The Raw,Lenna,4888 #7 Hwy,Porters Lake,Nova Scotia,B3E 1J5,1 (902) 403-0303,NULL,intheraw@eastlink.ca,http://intherawsproutingcenter.com,Tues - 9-5 Wed - 11-5 Thurs - 11-5 Fri - 9-5 Sat - 11-3 Sun & Mon - Closed,NULL
Indian Creek Farm,Adam Hankinson,4323 Highway 1,Weymouth,Nova Scotia,B0W 3T0,(902) 837-7265,NULL,ahankinson@hotmail.com,NULL,NULL,NULL
Indian Garden Farm Market,NULL,15401 Hwy 3,Hebbville,Nova Scotia,B4V 6X7,(902) 543-9899,NULL,indian.garden.farms@gmail.com,NULL,"Open daily from 9 am to 6 pm in season. Fruit and vegetables sold in farm market are all grown on their farm. Annuals and Perennials available in Beulah's Bloomers Greenhouse.  To reach Beulah’s Bloomers Greenhouses and Indian Garden Farm Market, please  call (902)543 9899  For U-pick times and other inquiries please call (902) 543 1979.  Wagon rides and farm tours in late September.",NULL
Indian Point Marine Farms Ltd,Peter Darnell,82 Indian Point Road,Indian Point,Nova Scotia,B0J 2E0,1 (902) 521-1218,NULL,indianpointpeter@gmail.com,NULL,NULL,NULL
Inglis Farm,NULL,2611 Hwy 201,Tupperville,Nova Scotia,B0S 1C0,(902) 665-2427,NULL,NULL,NULL,For all U-picks please call ahead for hours and season of operation.,NULL
Inkwell Modern Handmade Boutique & Letterpress Studio,NULL,2011 Brunswick Street,Halifax,Nova Scotia,B3J 2G8,1 (902) 405-8309,NULL,hello@inkwellboutique.ca,http://inkwellboutique.ca,NULL,NULL
