facility,permit_type,permit_status,facility_address,city
SOBEYS #881,Eating Establishment,Active,6990 MUMFORD RD.,HALIFAX
ABERCROMBIE VARIETY & VIDEO,Food Shop,Active,813 GRANTON ABERCROMBIE RD.,ABERCROMBIE
PRESS GANG (THE),Eating Establishment,Active,5218 PRINCE ST.,HALIFAX
HUO LE,Eating Establishment,Active,5650 SPRING GARDEN RD.,HALIFAX
BARN COFFEE & SOCIALHOUSE (THE),Eating Establishment,Active,458 MAIN ST.,MAHONE BAY
ECOLE SECONDAIRE DU SOMMET,Eating Establishment,Active,500 LARRY UTECK BLVD.,HALIFAX
BAKED INN,Eating Establishment,Awaiting Application,1867 HIGHWAY 359 HWY.,CENTREVILLE
DUNDEE RESORT,Eating Establishment,Active,2750 WEST BAY RD.,DUNDEE
CEILIDH MARKET - ORGANIZER,Public Market - Vendor,Awaiting Application,606 REEVES ST.,PORT HAWKESBURY
ANNAPOLIS 4-H CANTEEN,Eating Establishment,Awaiting Application,566 MAIN ST.,LAWRENCETOWN
Maison Verrier,Eating Establishment,Awaiting Application,3 FORTRESS SERVICE RD.,FORTRESS OF LOUISBOURG
Richard King LF,Mobile - Class 3,Awaiting Application,283 BELLEVILLE RD.,BELLEVILLE
Forever Green Farm & Gardens - Mabou Farmers Market,Public Market - Vendor,Awaiting Application,186 MABOU HARBOUR RD.,MABOU
WHITE SAILS BAKERY & DELI,Eating Establishment,Awaiting Application,12930 PEGGYS COVE RD.,TANTALLON
Haven Manor,Eating Establishment,Active,6411 COBURG RD.,HALIFAX
GRILL WORKS / LIFE SCIENCES BLDG.,Eating Establishment,Awaiting Application,1355 OXFORD ST.,HALIFAX
BROOKLYN VILLAGE GARDEN CENTRE,Food Shop - Seasonal,Awaiting Application,8186 HIGHWAY 14 HWY.,BROOKLYN
STARBUCKS COFFEE CANADA,Eating Establishment,Active,69 ROBIE ST.,TRURO
AMHERST CURLING CLUB,Eating Establishment,Awaiting Application,45 PRINCE ARTHUR ST.,AMHERST
SWICK'S BAKERY - ANTIGONISH WINTER MARKET,Public Market - Vendor,Awaiting Application,121 ST NINIAN ST.,ANTIGONISH
JAZZ CAFETERIA,Eating Establishment,Awaiting Application,310 GOUDEY DR.,GOFFS
MEMBERTOU SPORT AND WELLNESS CENTRE INC.,Eating Establishment,Awaiting Application,95 MAILLARD ST.,MEMBERTOU 28B
DARTMOUTH NORTH COMMUNITY CENTRE,Eating Establishment,Awaiting Application,105 HIGHFIELD PARK DR.,DARTMOUTH
NORTH SHORE DINER,Eating Establishment - Seasonal,Awaiting Application,44 CREAMERY RD.,TATAMAGOUCHE
NORTHERN YACHT CLUB,Eating Establishment,Awaiting Application,27 SEAVIEW DR.,NORTH SYDNEY
KIDS FUN FACTORY (THE),Eating Establishment,Awaiting Application,580 WRIGHT AVE.,DARTMOUTH
ROSS PATTERSON (Noodle Guy)-WOLFVILLE FARMERS MARKET,Public Market - Vendor,Awaiting Application,24 ELM AVE.,WOLFVILLE
St Joseph's Church Hall,Eating Establishment,Awaiting Application,3709 PROSPECT RD.,SHAD BAY
BURT MCKNIGHT'S GROCERY LTD,Eating Establishment,Awaiting Application,2082 HIGHWAY 1 HWY.,AUBURN
TRIPLE AAA,Eating Establishment,Awaiting Application,6279 JUBILEE RD.,HALIFAX
AMHERST SHORE COUNTRY INN,Eating Establishment,Awaiting Application,5091 HIGHWAY 366 HWY.,LORNEVILLE
RIVER JOHN FARMERS MARKET - ORGANIZER,Public Market - Vendor,Awaiting Application,1389 LOUISVILLE RD.,RIVER JOHN
KEBAB KITCHEN,Eating Establishment,Awaiting Application,600 WINDMILL RD.,DARTMOUTH
KNOX PRESBYTERIAN CHURCH,Eating Establishment,Awaiting Application,39 GRANT ST.,BADDECK
SYDNEY STREET PUB AND CAFE,Eating Establishment,Awaiting Application,14 SYDNEY ST.,DIGBY
SHELBURNE LIONS CLUB,Eating Establishment,Awaiting Application,188 ELLIOT ST.,SHELBURNE
NEW MINAS VOLUNTEER FIRE DEPARTMENT,Eating Establishment,Awaiting Application,6 JONES RD.,NEW MINAS
NORTH SHORE RECREATIONAL CENTRE,Eating Establishment,Awaiting Application,30 BLAIR AVE.,TATAMAGOUCHE
GLACE BAY & AREA Y'S MEN 7 WOMEN CLUB,Eating Establishment,Awaiting Application,230 COMMERCIAL ST.,GLACE BAY
THYME FOR EWE FARM - BADDECK & AREA COMMUNITY MARKET,Public Market - Vendor,Awaiting Application,26 CAMPBELL ST. 1,BADDECK
INGONISH BEACH CANTEEN,Eating Establishment - Seasonal,Awaiting Application,90 BEACH RD.,INGONISH BEACH
BIG REDS FAMILY RESTAURANT,Eating Establishment,Awaiting Application,6490 HIGHWAY 3 HWY.,WESTERN SHORE
SKALA SEAFOODS - Annapolis Royal Farmers Market,Public Market - Vendor,Awaiting Application,178 ST GEORGE ST.,ANNAPOLIS ROYAL
CANADIAN TIRE GAS BAR,Food Shop,Awaiting Application,610 VICTORIA RD.,SYDNEY
DAYDREAMS CHILDCARE CENTRE,Eating Establishment,Awaiting Application,34 BLUEWATER RD.,BEDFORD
WOODY'S VARIETY,Food Shop,Awaiting Application,167 WEST RIVER RD.,PICTOU
STEP ABOVE CHILDCARE CENTRE,Eating Establishment,Awaiting Application,650 WASHMILL LAKE DR.,HALIFAX
SYDNEY MINES & DISTRICT COMMUNITY CENTRE,Eating Establishment,Awaiting Application,147 LEGATTO ST.,SYDNEY MINES
INGONISH FRESHMART,Food Shop,Awaiting Application,36350 CABOT TRAIL,INGONISH
SEAL COVE RESTAURANT & LOUNGE,Eating Establishment,Awaiting Application,474 HIGHWAY 320 HWY.,LOUISDALE
ela! GREEK TAVERNA,Eating Establishment,Awaiting Application,215 CHAIN LAKE DR. UNIT 4B,HALIFAX
IT'S A GOOD PIZZA INC,Eating Establishment - Seasonal,Awaiting Application,1957 HIGHWAY 6 HWY.,RIVER JOHN
EL GORDO TACOS - MOBILE,Mobile - Class 1 Seasonal,Awaiting Application,32 WEDGEWOOD DR.,ANTIGONISH
GAETZ BROOK JUNIOR HIGH SCHOOL CAFETERIA,Eating Establishment,Awaiting Application,6856 HIGHWAY 7 HWY.,GAETZ BROOK
REDWOOD GRILL,Eating Establishment,Awaiting Application,30 FAIRFAX DR.,HALIFAX
LOBSTER KETTLE RESTAURANT,Eating Establishment - Seasonal,Awaiting Application,41 COMMERCIAL ST.,LOUISBOURG
PLANTATION CONVENIENCE,Eating Establishment - Seasonal,Awaiting Application,210 WEST STEADMAN RD.,BERWICK
PIZZATOWN SACKVILLE,Eating Establishment,Awaiting Application,225 COBEQUID RD.,LOWER SACKVILLE
CAMP MACLEOD,Eating Establishment - Seasonal,Awaiting Application,2731 TROUT BROOK RD.,ALBERT BRIDGE
JOE SABEAN - FISH MOBILE,Mobile - Class 3,Awaiting Application,24 MIDDLE CROSS RD.,DIGBY
GRANT GARRISON - LF,Mobile - Class 3,Awaiting Application,40 GEORGE GRAY LANE,SAMBRO
Brian Hirtle - LF,Mobile - Class 3,Awaiting Application,3920 HIGHWAY 331 HWY.,DUBLIN SHORE
D & E SMOKED MEATS - PUGWASH FARMERS MARKET,Public Market - Vendor,Awaiting Application,10222 DURHAM ST.,PUGWASH
LEBRUN SEAFOODS - HALIFAX FORUM FARMERS MARKET,Public Market - Vendor,Awaiting Application,2901 WINDSOR ST.,HALIFAX
RIVERSIDE ELEMENTARY SCHOOL CAFETERIA,Eating Establishment,Awaiting Application,7430 HORNE'S RD.,ALBERT BRIDGE
DAVIDS TEA #235,Food Shop,Awaiting Application,800 GRAND LAKE RD.,GRAND LAKE ROAD
WOODLAWN CONVENIENCE STORE,Food Shop,Awaiting Application,99 WOODLAWN RD.,DARTMOUTH
STAGGERS PUB & GRUB,Eating Establishment,Awaiting Application,26 PORTLAND ST.,DARTMOUTH
NEON CACTUS TACO TEMPLE,Mobile - Class 1 Seasonal,Awaiting Application,246 MIDDLE RD.,DEBERT
TAPROOT FARMS - SPRYFIELD FARMERS MARKET,Public Market - Vendor,Awaiting Application,173 OLD SAMBRO RD.,HALIFAX
ROY W FROST FISHERIES LTD. - LF,Mobile - Class 3,Awaiting Application,4515 HIGHWAY 217 HWY.,TIDDVILLE
ROUTE 6 FOOD TRUCK COMPANY - HALIFAX BREWERY MARKET,Public Market - Vendor,Awaiting Application,1496 LOWER WATER ST.,HALIFAX
STONE HEARTH CAFE,Eating Establishment,Active,NULL,NULL
ANGUS MACGILLIVRAY,Mobile - Class 3,Active,75 FATIMA ST.,ANTIGONISH
FISH TRUCK #1 (THE)/ (JK MARINE),Mobile - Class 3,Active,3 COMMERCIAL ST.,LOUISBOURG
Main Town Pizza,Eating Establishment,Awaiting Application,294 HIGHWAY 2 HWY.,ENFIELD
902 PROUD ICE CREAM CAKES - PUSHCART,Mobile - Class 2,Active,815 COLLEGE RD.,BIBLE HILL
LOOK HO HO RESTAURANT,Eating Establishment,Active,6420 BAYERS RD.,HALIFAX
52 KELLY DR. - PID 40461527,Mobile - Class 3,Active,52 KELLY DR.,WILLIAMSWOOD
ROYAL CANADIAN LEGION BRANCH 20,Eating Establishment,Active,92 MOUNT ST.,DIGBY
COMFORT INN BRIDGEWATER,Eating Establishment,Active,49 NORTH ST.,BRIDGEWATER
BUSCHMANN FREE RANGE BIO FARM,Food Shop,Active,2622 RIVERSIDE RD.,CLEVELAND
BRAMBLE HILL FARM - NEW GLASGOW FARMERS MARKET,Public Market - Vendor,Active,261 GLASGOW ST.,NEW GLASGOW
FUNG LUM RESTAURANT,Eating Establishment,Active,1658 BEDFORD HWY. UNIT 0490,BEDFORD
KEN-WO GOLF CLUB,Eating Establishment,Active,9514 COMMERCIAL ST.,NEW MINAS
ROUSSEAU CHOCOLATIER LTD,Eating Establishment,Active,5151 SOUTH ST. UNIT 104/105,HALIFAX
RICKS VARIETY,Food Shop,Active,278 LACEWOOD DR.,HALIFAX
WHITEGATE INN & RESTAURANT INC.,Eating Establishment,Active,28 PLEASANT ST.,CHESTER
SEAVIEW GOLF & COUNTRY CLUB CANTEEN,Eating Establishment,Active,370 SEAVIEW DR.,UPPER NORTH SYDNEY
RACK AND CUE SNOOKER CLUB LIMITED,Eating Establishment,Active,334 STEWART ST.,NEW GLASGOW
MELVILLE HEIGHTS,Eating Establishment,Active,24 RAMSGATE LANE,HALIFAX
PIZZA GIRLS KATCH SEAFOOD,Eating Establishment,Active,5126 ST MARGARETS BAY RD.,UPPER TANTALLON
TIM HORTONS,Eating Establishment,Active,7 JAMES ST.,ANTIGONISH
CUMBERLAND REGIONAL HEALTH CARE CENTRE,Eating Establishment,Active,19428 HIGHWAY 2 HWY.,UPPER NAPPAN
VACHERESSES MEATS,Eating Establishment,Active,23 ST ANDREW ST.,ANTIGONISH
MOTEL TRANSCOTIA,Eating Establishment,Active,3457 HIGHWAY 3 HWY.,BROOKLYN
NELLY'S DELIGHT GRILL & DAIRY BAR,Eating Establishment,Active,8890 ROUTE 6,PUGWASH
CHEESECURDS GOURMET BURGERS AND POUTINERIE,Eating Establishment,Active,380 PLEASANT ST.,DARTMOUTH
WILFRED W. NEIFORTH LF,Mobile - Class 3,Active,23 GAETZ LAKE DR.,SEAFORTH
SUNSET COMMUNITY THRIFT STORE & CAFE,Eating Establishment,Active,18 WATER ST.,OXFORD
ROBINS,Eating Establishment,Active,1267 HIGHWAY 105 HWY.,BRAS D'OR
YAPS PLACE RESTAURANT,Eating Establishment,Active,1971 HIGHWAY 6 HWY.,RIVER JOHN
JOHNSTON CHRISTIAN PARK,Eating Establishment,Active,3561 SISSIBOO RD.,SOUTH RANGE
SISSIBOO COFFEE BEAR RIVER CAFE,Eating Establishment,Active,1890 CLEMENTSVALE RD.,BEAR RIVER
RUM RUNNERS RUM CAKE FACTORY,Food Shop,Active,1479 LOWER WATER ST.,HALIFAX
EMINS MEAT MARKET LIMITED,Food Shop,Active,148 MAIN ST.,YARMOUTH
HITEA,Eating Establishment,Active,480 PARKLAND DR. UNIT 14,HALIFAX
MARTIN'S FINE BAKERY BETWEEN THE BOOKS AND THE BIKES,Eating Establishment,Active,91 FIDDLEHEAD RD.,RIVER DENYS
COLBOURNE CARES,Mobile - Class 1,Active,325 WELTON ST.,SYDNEY
CLOVER FARM #2611,Food Shop,Active,3 MAIN ST.,SHERBROOKE
Quinpool Road Superstore #383,Eating Establishment,Active,6139 QUINPOOL RD.,HALIFAX
TIBBETTS HOME FOR SPECIAL CARE,Eating Establishment,Active,15074 HIGHWAY 1 HWY.,WILMOT
PORTERS LAKE SUPERSTORE #367,Eating Establishment,Active,5240 HIGHWAY 7,PORTERS LAKE
NEEDS CONVENIENCE #0220,Food Shop,Active,252 MAIN ST.,KENTVILLE
FULLY LOADED JACKET POTATO (THE),Eating Establishment,Active,152 BEAVER BANK RD.,LOWER SACKVILLE
MCDONALDS 40061,Eating Establishment,Active,153 RESERVE ST.,GLACE BAY
AVERY'S FARM MARKETS LIMITED,Food Shop,Active,175 PICTOU RD.,BIBLE HILL
NORTHUMBERLAND GOLF CLUB 1,Eating Establishment,Active,1776 GULF SHORE RD.,GULF SHORE
AVERY'S FARM MARKETS LIMITED,Food Shop,Active,105 MAIN ST.,MIDDLETON
TIM HORTONS DRIVE THROUGH (ESSO),Eating Establishment,Active,6020 YOUNG ST.,HALIFAX
NOVA SCOTIA HEALTH AUTHORITY - NUTRITION AND FOOD SERVICES,Eating Establishment,Active,492 ARCHIBALD BROOK RD.,MIDDLE MUSQUODOBOIT
KFC TACO BELL,Eating Establishment,Active,87 MAIN ST.,STEWIACKE
PARKLAND ESTATES (Aberdeen & Bradford Hall),Eating Establishment,Active,118 FAIRFAX DR.,HALIFAX
BEAVER BANK COMMUNITY HALL,Eating Establishment,Active,351 BEAVER BANK RD.,BEAVER BANK
TIM HORTONS,Eating Establishment,Active,2301 HIGHWAY 2 HWY.,MILFORD
BIG INTERVALE FISHING LODGE,Eating Establishment,Active,3719 WEST BIG INTERVALE RD.,BIG INTERVALE
BLACK POINT & AREA COMMUNITY CENTRE,Eating Establishment,Active,8579 ST MARGARETS BAY RD.,BLACK POINT
Shahi Groceries,Food Shop,Active,278 LACEWOOD DR.,HALIFAX
MAY GARDEN,Eating Establishment,Active,1475 BEDFORD HWY. SUITE 104,BEDFORD
SUBWAY,Eating Establishment,Active,450 MAIN ST.,TATAMAGOUCHE
MCDONALD'S RESTAURANT,Eating Establishment,Active,10 PEAKVIEW WAY,BEDFORD
SHANNON DOUGH PIZZA,Eating Establishment,Active,1479 MAIN RD.,EASTERN PASSAGE
ACADIAN BEVERAGE ROOM,Eating Establishment,Active,9 STATION RD.,TATAMAGOUCHE
MOTHER WEBBS,Eating Establishment,Active,23 MAIN ST.,ANTIGONISH
SOBEYS #776,Eating Establishment,Active,551 PORTLAND ST.,DARTMOUTH
QUIZNOS SUB,Eating Establishment,Active,201 CHAIN LAKE DR.,HALIFAX
GARDERIE LES PETITS POUSSINS DAY CARE,Eating Establishment,Active,15118 CABOT TRAIL,CHÉTICAMP
BOSTON PIZZA,Eating Establishment,Active,611 PORTLAND ST.,DARTMOUTH
FALL RIVER CONVENIENCE,Food Shop,Active,1080 FALL RIVER RD.,FALL RIVER
Forrest Gumps Meals on Wheels,Mobile - Class 1 Seasonal,Active,NULL,SYDNEY MINES
TIM HORTONS,Eating Establishment,Active,205 PORTLAND ST.,DARTMOUTH
CALVIN NICKERSON - FISH MOBILE,Mobile - Class 3,Active,5148 HWY 3,SHAG HARBOUR
METRO PIZZA,Eating Establishment,Active,6021 LADY HAMMOND RD.,HALIFAX
WILLY'S FRESH CUT FRIES & BURGERS,Eating Establishment,Active,5239 BLOWERS ST.,HALIFAX
SUBWAY,Eating Establishment,Active,3770 KEMPT RD.,HALIFAX
PEACE BY CHOCOLATE,Food Shop,Active,746 CLOVERVILLE RD.,ANTIGONISH
CAMP BRETONDEAN INC,Eating Establishment,Active,965 HILLSIDE RD.,ALBERT BRIDGE
MOXIE'S GRILL/BAR - HALIFAX,Eating Establishment,Active,182 CHAIN LAKE DR.,HALIFAX
YARMOUTH HEIGHTS SENIORS RESIDENCE,Eating Establishment,Active,64 VANCOUVER ST.,YARMOUTH
ASCENDO FITNESS,Food Shop,Active,124 JOHNSTON ST.,SYDNEY
THE CAPTAIN'S BOIL,Eating Establishment,Active,5680 SPRING GARDEN RD. UNIT 1,HALIFAX
FIVE ISLANDS FISH MARKET,Food Shop - Seasonal,Active,145 HIGHWAY 2 HWY.,LOWER FIVE ISLANDS
HORIZON COFFEE SHOP 5,Food Shop,Active,70 REEVES ST.,SYDNEY
KINGS COUNTY ACADEMY SCHOOL CAFETERIA,Eating Establishment,Active,35 GARY PEARL DR.,KENTVILLE
CARLETON & DISTRICT FIRE DEPARTMENT,Eating Establishment,Active,22 HIGHWAY 203 HWY.,CARLETON
FARMHOUSE BAKERY,Eating Establishment,Active,41 VENTURA DR.,DEBERT
SPRING GARDEN CHILD CARE CENTRE,Eating Establishment,Active,2380 SPRING GARDEN RD.,WESTVILLE
WENDY'S RESTAURANT,Eating Establishment,Active,118 SOUTH ALBION ST.,AMHERST
HARRIETSFIELD CONVENIENCE INCORPORATED,Food Shop,Active,1117 OLD SAMBRO RD.,HARRIETSFIELD
COOK'S PIZZA,Eating Establishment,Active,1727 SACKVILLE DR.,MIDDLE SACKVILLE
QUEENS ASSOCIATION FOR SUPPORTED LIVING,Eating Establishment,Active,44 PLEASANT ST.,MILTON
SUSHIJET ASIAN CUISINE - LARRY UTECK,Eating Establishment,Active,540 SOUTHGATE DR. UNIT 103,BEDFORD
VITTLES CAFE,Eating Establishment,Active,4821 HIGHWAY 12 HWY.,NEW ROSS
U-COOK LOBSTER,Mobile - Class 1,Active,130 PEGGYS POINT RD.,PEGGYS COVE
JUST RIGHT CHILD CARE,Eating Establishment,Active,15143 HIGHWAY 1 HWY.,WILMOT
BROOKLYN EARLY LEARNING AND CHILDCARE CENTRE,Eating Establishment,Active,86 DUNLOP RD.,BROOKLYN
SIX MAPLES FARM - ANTIGONISH FARMERS MARKET,Public Market - Vendor,Active,30 JAMES ST.,ANTIGONISH
A BITE OF ASIA,Eating Establishment,Active,80 DORCHESTER ST.,SYDNEY
APPLETON CHOCOLATES COMPANY,Eating Establishment,Active,261 MAIN ST.,TATAMAGOUCHE
BEDFORD SOUTH SCHOOL,Eating Establishment,Active,NULL,NULL
PAULS FOOD FACTORY,Eating Establishment,Active,656 VICTORIA RD.,SYDNEY
LITTLE PICASSO DAYCARE & ART CENTRE,Eating Establishment,Active,7 LANGBRAE DR.,HALIFAX
COLOMBIAN CRAVINGS,Eating Establishment,Active,1989 WENTWORTH RD.,NEWPORT STATION
HALLS HARBOUR LOBSTER POUND,Eating Establishment,Active,1157 WEST HALLS HARBOUR RD.,HALLS HARBOUR
ATLANTIC HEIGHTS,Eating Establishment,Active,19 CREST ST.,LOCKEPORT
COLE HARBOUR DISTRICT HIGH SCHOOL,Eating Establishment,Active,2 CHAMEAU CRES.,COLE HARBOUR
LE PETIT VOILIER - Sommet,Eating Establishment,Active,500 LARRY UTECK BLVD.,HALIFAX
GARDERIE LE PETIT VOILIER DU GRAND-PORTAGE,Eating Establishment,Active,100 STOKIL DR.,LOWER SACKVILLE
SPRYFIELD GUARDIAN,Food Shop,Active,205 HERRING COVE RD.,HALIFAX
JUDIQUE COMMUNITY CENTRE DEVELOPMENT ASSOCIATION,Eating Establishment,Active,5473 HIGHWAY 19 HWY.,JUDIQUE
BEST CHOICE CHINESE FOOD,Eating Establishment,Active,28 TITUS ST.,HALIFAX
NEEDS CONVENIENCE #598,Food Shop,Active,8 CHURCH ST. UNIT 1,PICTOU
STAND & STUFF YOUR FACE,Eating Establishment,Active,4489 HWY 105,BADDECK
TIM HORTONS,Eating Establishment,Active,242 WESTVILLE RD.,NEW GLASGOW
WANG EXPRESS,Eating Establishment,Active,245 ROBIE ST.,TRURO
JO-ANN'S DELI MARKET & BAKE SHOP,Eating Establishment,Active,9 EDGEWATER ST.,MAHONE BAY
DINING HALL,Eating Establishment,Active,5518 SPRING GARDEN RD.,HALIFAX
Edward Jost Annex,Eating Establishment,Active,11 MONT ST.,HALIFAX
BROOKFIELD ELEMENTARY,Eating Establishment,Active,233 HIGHWAY 289 HWY.,BROOKFIELD
JUST LIKE HOME DAYCARE & AFTER SCHOOL PROGRAM,Eating Establishment,Active,2804 HIGHWAY 2 HWY.,SHUBENACADIE
RIDGECLIFF MIDDLE SCHOOL #71555,Eating Establishment,Active,35 BEECH TREE RUN,BEECHVILLE
GRECO PIZZA,Eating Establishment,Active,334 MAIN ST.,YARMOUTH
FORTUNE STAR CHINESE RESTAURANT,Eating Establishment,Active,439 PRINCE ST.,SYDNEY
Shoppers Drug Mart #132,Food Shop,Active,255 COMMERCIAL ST.,GLACE BAY
The Brown Hound Pub,Eating Establishment,Active,1450 IRONSTONE LANE,HALIFAX
ELMSDALE GUARDIAN,Food Shop,Active,269 HIGHWAY 214 UNIT 2,ELMSDALE
CHEESE CURDS & HABANEROS,Eating Establishment,Active,14 TREATY TRAIL,MILLBROOK 27
"MUG & ANCHOR PUB, THE",Eating Establishment,Active,643 MAIN ST.,MAHONE BAY
SPRING STREET ACADEMY,Eating Establishment,Active,59 SPRING ST.,AMHERST
LE GABRIEL,Eating Establishment,Active,15424 CABOT TRAIL,CHÉTICAMP
OLYMPIC COMMUNITY CENTER,Eating Establishment,Active,2304 HUNTER ST.,HALIFAX
TALO CAFEBAR,Eating Establishment,Active,195 COMMERCIAL ST.,GLACE BAY
Crumbs & Crust Bakery,Eating Establishment,Active,142 STELLARTON RD. UNIT a,NEW GLASGOW
Cheery Cherries Ice Cream Parlour & Coffee Bar,Eating Establishment,Active,13738 HIGHWAY 1 HWY.,WILMOT
THAI EXPRESS,Eating Establishment,Active,7001 MUMFORD RD. UNIT 256A,HALIFAX
"BISTRO, THE",Eating Establishment,Active,216 ARCHIMEDES ST.,NEW GLASGOW
TIM HORTONS (DALHOUSIE STUDENT UNION BLD) #72901,Eating Establishment,Active,6136 UNIVERSITY AVE.,HALIFAX
DOMINO'S PIZZA (STORE 10981),Eating Establishment,Active,118 WYSE RD.,DARTMOUTH
GILLIS SEAFOOD - CAPE BRETON FARMERS MARKET,Public Market - Vendor,Active,15 FALMOUTH ST.,SYDNEY
AVONDALE SKY WINERY,Eating Establishment,Active,80 AVONDALE CROSS RD.,AVONDALE
STONE HEARTH BAKERY (KGL),Eating Establishment,Active,NULL,NULL
IZZY'S BAGEL CO.,Eating Establishment,Active,1180 BEDFORD HWY.,BEDFORD
DARTMOUTH DAY CARE CENTRE (CALEDONIA),Eating Establishment,Active,28 CALEDONIA RD.,DARTMOUTH
SUBWAY (AIRPORT FOODS INC),Eating Establishment,Active,NULL,NULL
North Nova Education Centre Cafeteria #71535,Eating Establishment,Active,343 PARK ST.,NEW GLASGOW
COTTAGE BAKERY & TEA ROOM,Eating Establishment,Active,842 HIGHWAY 320 HWY.,LENNOX PASSAGE
TIM HORTON'S,Eating Establishment,Active,8250 HIGHWAY 105 HWY.,BADDECK
PILOTS PUB DINING ROOM & LOUNGE,Eating Establishment,Active,10 ATLANTIC ST.,DARTMOUTH
SOBEYS 100,Eating Establishment,Active,293 SOUTH FOORD ST.,STELLARTON
BURGER KING,Eating Establishment,Active,651 SACKVILLE DR.,SACKVILLE
Pleasant Street House,Eating Establishment,Active,348 PLEASANT ST.,DARTMOUTH
HAMPTON INN,Eating Establishment,Active,60 MAILLARD ST.,MEMBERTOU 28B
G.G. Pharmacy Inc.,Food Shop,Active,5524 SPRING GARDEN RD.,HALIFAX
SMITTY'S FAMILY RESTAURANT,Eating Establishment,Active,107 MAIN ST.,DARTMOUTH
3341007 Nova Scotia Limited,Eating Establishment,Active,56 SUPREME CRT. UNIT 5,HALIFAX
OLD TRIANGLE IRISH ALE HOUSE (THE),Eating Establishment,Active,5136 PRINCE ST.,HALIFAX
HILTON GARDEN INN HALIFAX AIRPORT,Eating Establishment,Active,200 PRATT & WHITNEY DR.,ENFIELD
LONGSHORE FISHERIES LTD.,Food Shop,Active,2025 SONORA RD.,SONORA
Bayview Child Development Centre,Eating Establishment,Active,133 COMPANY RD.,PORT HOOD
ASH LEE JEFFERSON SCHOOL CAFETERIA,Eating Establishment,Active,10 LOCKVIEW RD.,FALL RIVER
Suprima Farms -  LUNENBURG FARMERS MARKET,Public Market - Vendor,Active,17 GREEN ST.,LUNENBURG
BAYVIEW EDUCATION CENTRE 71424,Eating Establishment,Active,133 COMPANY RD.,PORT HOOD
JIM GOSSON - FISH MOBILE,Mobile - Class 3,Active,178 THIRD AVE.,DIGBY
Ryan Hall,Eating Establishment,Active,313 HOLLINGSWORTH DR.,BRIDGEWATER
CAREFIELD MANOR,Eating Establishment,Active,1 DRYDEN AVE. A,LINGAN ROAD
SUSHI SHIGE JAPANESE RESTAURANT,Eating Establishment,Active,5688 ALMON ST.,HALIFAX
CAPE BRETON SKI CLUB (THE),Eating Establishment - Seasonal,Active,5101 EAST BAY HWY.,BEN EOIN
IN SPRING FINE ASIAN FUSION CUISINE,Eating Establishment,Active,5171 SALTER ST.,HALIFAX
Burrito Jax,Eating Establishment,Active,978 COLE HARBOUR RD.,COLE HARBOUR
TWO RIVERS WILDLIFE PARK,Eating Establishment,Active,4581 GRAND MIRA NORTH RD.,MARION BRIDGE
PIPER'S PUB,Eating Establishment,Active,33 COLLEGE ST.,ANTIGONISH
Abundant Acres - Warehouse Market,Food Shop,Active,2867 ISLEVILLE ST.,HALIFAX
NEWCOMBVILLE IRVING,Eating Establishment,Active,3916 HIGHWAY 325 HWY.,NEWCOMBVILLE
MCDONALD'S BARRINGTON,Eating Establishment,Active,38 HIGHWAY 330 HWY.,BARRINGTON
TIM HORTONS 1706,Eating Establishment,Active,29 COMMERCIAL ST.,DOMINION
MAMA SOFIA PIZZERIA,Eating Establishment,Active,521 MAIN ST.,KINGSTON
CENTRAL COLCHESTER JUNIOR HIGH SCHOOL 71503,Eating Establishment,Active,61 ONSLOW RD.,CENTRAL ONSLOW
ROYAL CANADIAN LEGION BRANCH 67,Eating Establishment,Active,24 BACK ST.,WEYMOUTH
PIZZA GIRLS,Eating Establishment,Active,799 SACKVILLE DR.,LOWER SACKVILLE
MILNE COURT PETRO CANADA,Eating Establishment,Active,8981 COMMERCIAL ST.,NEW MINAS
RED ONION NATURAL FOOD MARKET (THE),Food Shop,Active,253 ST GEORGE ST.,ANNAPOLIS ROYAL
BURGER KING,Eating Establishment,Active,125 KELTIC DR.,SYDNEY RIVER
QUEENS RECREATION BOATING ASSOCIATION,Eating Establishment - Seasonal,Awaiting Application,100 BROOKLYN SHORE RD.,BROOKLYN
BEAVER BANK PIZZA,Eating Establishment,Active,303 BEAVER BANK RD.,BEAVER BANK
TIM HORTON'S (LOWER LEVEL),Eating Establishment,Active,1 BELL BLVD.,ENFIELD
GEORGE P VANIER JR HIGH SCHOOL #71469,Eating Establishment,Active,1410 FALL RIVER RD.,FALL RIVER
SUGAR MOON FARM CAMP,Eating Establishment,Active,221 ALEX MACDONALD RD.,EARLTOWN
CUMBERLAND NORTH ACADEMY,Eating Establishment,Active,879 HIGHWAY 204 HWY.,BROOKDALE
LOCALLY BAKED OUTLET,Eating Establishment,Active,622 SACKVILLE DR. UNIT 4,LOWER SACKVILLE
DORY MATES SEAFOOD SHOP,Eating Establishment,Active,139 MONTAGUE ST.,LUNENBURG
FANCY CHOPSTICKS CHINESE AND CANADIAN FOOD,Eating Establishment,Active,324 STATION RD.,PORTERS LAKE
KINGSWOOD MARKET,Food Shop,Active,1210 HAMMONDS PLAINS RD.,HAMMONDS PLAINS
Pizza Pizza,Eating Establishment,Awaiting Application,3514 JOSEPH HOWE DR.,HALIFAX
