facility,permit_type,permit_status,facility_address,city
A & W Restaurant,Eating Establishment,Active,7001 MUMFORD RD. UNIT 256A,halifax
M&M MEAT SHOPS,Food Shop,Active,278 LACEWOOD DR.,halifax
What on Earth Farm Wolfville Farmers Market,Public Market - Vendor,Active,24 ELM AVE.,wolfville
BENTO NOUVEAU (SUSHI BAR),Eating Establishment,Active,210 CHAIN LAKE DR.,halifax
SCOTIABANK CENTRE - MAIN KITCHEN - MEZZANINE,Eating Establishment,Active,1800 ARGYLE ST.,halifax
MARY & LARRY'S DINER & TAKEOUT,Eating Establishment,Active,710 WILLOW ST.,truro
SOBEYS #644,Eating Establishment,Active,287 LACEWOOD DR. UNIT 107,halifax
Cha Baa Thai Restaurant - Dartmouth,Eating Establishment,Active,100 ILSLEY AVE. UNIT,dartmouth
PICASSO PIZZA,Eating Establishment,Active,393 MAIN ST.,wolfville
ADOLESCENT INTENSIVE SERVICES (AIS),Eating Establishment,Active,2760 JOSEPH HOWE DR.,halifax
KENTUCKY FRIED CHICKEN (Tacoma Dr),Eating Establishment,Active,75 TACOMA DR.,dartmouth
MEZZA LEBANESE KITCHEN,Eating Establishment,Active,64 ROBIE ST.,truro
HAPPY GARDEN CHINESE RESTAURANT,Eating Establishment,Active,1304 BIRMINGHAM ST.,halifax
COBS BREAD,Eating Establishment,Active,1658 BEDFORD HWY. UNIT 0490,bedford
STATION SIX,Eating Establishment,Active,247 HERRING COVE RD.,halifax
JAMIESON'S IRISH HOUSE & GRILL,Eating Establishment,Active,5 CUMBERLAND DR.,dartmouth
ALEXANDRA'S PIZZA,Eating Establishment,Active,14 TITUS ST.,halifax
LE BISTRO BY LIZ,Eating Establishment,Active,1333 SOUTH PARK ST.,halifax
TONYS DONAIR AND PIZZA,Eating Establishment,Active,2390 ROBIE ST.,halifax
BURGER KING,Eating Establishment,Active,6049 YOUNG ST.,halifax
Starbucks Coffee #4086,Eating Establishment,Active,18 PARKLAND DR.,halifax
Sea Smoke,Eating Establishment,Active,1477 LOWER WATER ST.,halifax
Pita Pit (Bedford),Eating Establishment,Active,81 PEAKVIEW WAY,halifax
HOP SING RESTAURANT,Eating Establishment,Active,324 HERRING COVE RD.,halifax
VIDEO TONIGHT AND PIZZA,Eating Establishment,Active,218 PLEASANT ST.,dartmouth
HUB 2,Eating Establishment,Active,55 TACOMA DR.,dartmouth
Subway,Eating Establishment,Active,650 PORTLAND ST.,dartmouth
TIM HORTONS,Eating Establishment,Active,5 LAKELANDS BLVD.,halifax
LAWLEY'S CAFE,Eating Establishment,Active,2615 NORTHWOOD TERR.,halifax
Pizza Girls & Katch Seafood - 5201 DUKE ST. - PID 00002121,Eating Establishment,Active,5201 DUKE ST.,halifax
PHO HOANG MINH,Eating Establishment,Active,172 WYSE RD.,dartmouth
FAST FUEL #4516,Food Shop,Active,89 PEAKVIEW WAY,halifax
Victoria's Historic Inn,Eating Establishment,Active,600 MAIN ST.,wolfville
MSVU - Rosaria Hall #72221,Eating Establishment,Active,166 BEDFORD HWY.,halifax
BEDFORD ACADEMY DAYCARE,Eating Establishment,Active,27 CHAMPLAIN CRT.,bedford
PATRONS 902 MODERN FOOD FUSION,Eating Establishment,Active,27 DELLRIDGE LANE UNIT,bedford
DALHOUSIE UNIVERSITY GRAWOOD LOUNGE,Eating Establishment,Active,6136 UNIVERSITY AVE.,halifax
CABBAGE PATCH KIMCHI - HALIFAX BREWERY MARKET,Public Market - Vendor,Active,1496 LOWER WATER ST.,halifax
ACADIA ARENA (CONCESSION STAND) #77113,Eating Establishment,Active,550 MAIN ST.,wolfville
WIRED MONK COFFEE BISTRO (THE),Eating Establishment,Active,5147 MORRIS ST.,halifax
BENTO SUSHI IN SOBEYS (WYSE ROAD),Eating Establishment,Active,210 WYSE RD.,dartmouth
MONTANA'S COOKHOUSE,Eating Establishment,Active,101 SHUBIE DR.,dartmouth
NOVA SCOTIA HEALTH AUTHORITY -NUTRITION AND FOOD SERVICES,Eating Establishment,Active,325 PLEASANT ST.,dartmouth
DOWNTOWN PIZZA AND DONAIRS,Eating Establishment,Active,172 WYSE RD.,dartmouth
COURTYARD & RESIDENCE INN DARTMOUTH,Eating Establishment,Active,35 SHUBIE DR.,dartmouth
MOON TIDE FARM - WOLFVILLE FARMERS MARKET,Public Market - Vendor,Active,24 ELM AVE.,wolfville
FINBAR'S IRISH PUB,Eating Establishment,Active,1595 BEDFORD HWY.,bedford
BLUEBIRD INTERNATIONAL TRADING CO. - ALDERNEY FARMERS MARKET,Public Market - Vendor,Active,2 OCHTERLONEY ST.,dartmouth
CHEELIN EXPRESS - SEAPORT MARKET,Eating Establishment,Active,1209 MARGINAL RD.,halifax
SUBWAY,Eating Establishment,Active,100 MAIN ST.,dartmouth
HEPPY'S PIE LADY,Public Market - Vendor,Active,173 OLD SAMBRO RD.,halifax
JAGGER'S CAFE,Eating Establishment,Active,120 SUSIE LAKE CRES. UNIT 14,halifax
THAT DUTCHMAN'S FARM (TRURO FARMERS' MARKET),Public Market - Vendor,Active,15 YOUNG ST.,truro
SCOTIA ROOM CAFETERIA ( VG HOSPITAL BUILDING),Eating Establishment,Active,1276 SOUTH PARK ST.,halifax
LITTLE EDEN BAKERY AND CAFE,Eating Establishment,Active,1996 BRUNSWICK ST.,halifax
"GROWING PLACE EARLY EDUCATION CENTRE, THE",Eating Establishment,Active,34 BELLE VISTA DR.,dartmouth
HOMEWOOD SUITES BY HILTON-HALIFAX,Eating Establishment,Active,1960 BRUNSWICK ST.,halifax
ASCENSION RAW FOODS - HALIFAX FORUM FARMERS MARKET,Public Market - Vendor,Awaiting Application,2901 WINDSOR ST.,halifax
HOPE UNITED CHURCH,Eating Establishment,Awaiting Application,3055 CONNAUGHT AVE.,halifax
MORRIS EAST RESTAURANT,Eating Establishment,Awaiting Application,620 NINE MILE DR. UNIT 209-B,bedford
HEIWA ORIENTAL MARKET,Eating Establishment,Active,7018 CHEBUCTO RD.,halifax
COLCHESTER REGIONAL HOSPITAL AUXILIARY COFFEE SHOP,Food Shop,Active,600 ABENAKI RD.,truro
Starbucks Coffee #3894,Eating Establishment,Active,32 FOULIS ROW,dartmouth
FREE RANGE STORE,Eating Establishment,Active,1181 LARRY UTECK BLVD. UNIT 104,halifax
SHOPPERS DRUG MART #137,Food Shop,Active,6139 QUINPOOL RD.,halifax
BAR STILLWELL,Eating Establishment,Active,1672 BARRINGTON ST.,halifax
KING STREET VARIETY & PIZZA,Eating Establishment,Awaiting Application,207 KING ST.,truro
"FILLINGS COFFEE SHOP (DENTAL BLDG, DALHOUSIE)",Eating Establishment,Awaiting Application,5981 UNIVERSITY AVE.,halifax
LOONG 7 RESTAURANT,Eating Establishment,Awaiting Application,3559 ROBIE ST.,halifax
CORA BREAKFAST AND LUNCH,Eating Establishment,Awaiting Application,1535 DRESDEN ROW UNIT 128,halifax
CAFE CHIANTI,Eating Establishment,Active,1241 BARRINGTON ST.,halifax
STARBUCKS COFFEE #52236,Eating Establishment,Active,41 MICMAC BLVD.,dartmouth
MORRIS EAST INC,Eating Establishment,Active,5212 MORRIS ST.,halifax
LE FRENCH FIX PATTISSERIE,Eating Establishment,Active,5233 PRINCE ST.,halifax
MEZZA LEBANESE KITCHEN,Eating Establishment,Active,5201 DUKE ST.,halifax
CORNER STORE #2516,Food Shop,Active,10 HIGHFIELD PARK DR.,dartmouth
MIZU,Eating Establishment,Awaiting Application,212 CHAIN LAKE DR. UNIT 5,halifax
BEDFORD BASIN FARMERS MARKET LTD.,Eating Establishment,Active,397 BEDFORD HWY.,halifax
SAHLA THAI LTD,Eating Establishment,Active,793 PRINCE ST.,truro
A & W,Eating Establishment,Active,210 WILLOW ST.,truro
VILLE CAFFEINE BAR (THE),Eating Establishment,Active,5146 SACKVILLE ST.,halifax
LAWTONS 172,Food Shop,Active,5515 DUFFUS ST.,halifax
ELLE'S BISTRO,Eating Establishment,Active,1678 BARRINGTON ST.,halifax
Urban Jars Halifax Food Services,Eating Establishment,Active,70 KING ST.,dartmouth
AARON'S FOOD CART - PUSHCART,Mobile - Class 2,Active,3366 WINDSOR ST.,halifax
LAKESIDE CAFE,Food Shop,Awaiting Application,237 BROWNLOW AVE.,dartmouth
CHICKENBURGER (THE),Eating Establishment,Active,1531 BEDFORD HIGHWAY REAR,bedford
LITTLE CAESARS PIZZA,Eating Establishment,Active,998 PARKLAND DR.,halifax
CRYSTAL PIZZA,Eating Establishment,Active,386 HERRING COVE RD. UNIT 1,halifax
The Lemonade General Store Ltd.,Eating Establishment,Active,5525 YOUNG ST.,halifax
BURNSIDE PIZZERIA LTD.,Eating Establishment,Active,109 ILSLEY AVE.,dartmouth
ST. ANDREW'S UNITED CHURCH,Eating Establishment,Active,6036 COBURG RD.,halifax
NEEDS CONVENIENCE #180,Food Shop,Active,210 WILLOW ST.,truro
SOBEYS #586,Eating Establishment,Active,2 FOREST HILLS DR.,dartmouth
RATINAUD FRENCH CUISINE,Eating Establishment,Awaiting Application,2157 GOTTINGEN ST.,halifax
HALIFAX EXHIBITION CENTRE,Eating Establishment,Active,200 PROSPECT RD.,halifax
BIRD'S NEST CAFE (THE),Eating Establishment,Active,1215 LOWER WATER ST.,halifax
BREW BEANS,Eating Establishment,Active,570 PRINCE ST.,truro
GANGNAM KOREAN BBQ,Eating Establishment,Active,1261 BARRINGTON ST.,halifax
Ronnie's Pizza Ltd.,Eating Establishment,Active,121 MAIN ST.,dartmouth
EAST COAST BAKERY,Eating Establishment,Active,6257 QUINPOOL RD.,halifax
ST. ANTHONY'S PARISH HALL,Eating Establishment,Awaiting Application,27 FARRELL ST.,dartmouth
BROTHER KHURSHID'S HALAL SHACK - QEII PARTNERS FOR CARE FARMERS MARKET,Public Market - Vendor,Awaiting Application,1276 SOUTH PARK ST.,halifax
PICNIC AT DART,Eating Establishment,Awaiting Application,127 PORTLAND ST.,dartmouth
NORTH END COMMUNITY DAY CARE CENTRE,Eating Establishment,Active,5540 RUSSELL ST.,halifax
VANDAL DOUGHNUTS,Eating Establishment,Active,2150 GOTTINGEN ST.,halifax
WILLOWBRAE CHILDCARE ACADEMY,Eating Establishment,Active,94 GARLAND AVE.,dartmouth
NETA DUECK - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Active,2 OCHTERLONEY ST.,dartmouth
TIM HORTONS,Eating Establishment,Active,390 OSBORNE ST.,halifax
BITTER END (THE),Eating Establishment,Active,1572 ARGYLE ST.,halifax
FUTURE STARS' LEARNING CENTRE,Eating Establishment,Active,60 SCOTCH PINE TERR.,halifax
WATERFRONT COFFEE BAR & EATERY,Eating Establishment - Seasonal,Awaiting Application,1549 LOWER WATER ST.,halifax
TIM HORTONS,Eating Establishment,Active,282 PICTOU RD.,truro
TIM HORTON'S # 5563,Eating Establishment,Active,275 BAKER DR.,dartmouth
Middlefield Farm,Public Market - Vendor,Active,173 OLD SAMBRO RD.,halifax
NEEDS CONVENIENCE #201,Food Shop,Active,14 HIGHFIELD PARK DR.,dartmouth
COCHRANE'S PHARMASAVE - WOLFVILLE,Food Shop,Active,442 MAIN ST.,wolfville
Crystal Day Nursery,Eating Establishment,Active,60 HIGHFIELD PARK DR.,dartmouth
SHADIA'S PIZZA INC.,Eating Establishment,Awaiting Application,2764 GOTTINGEN ST.,halifax
"METRO DELI, CAFE & GRILL",Eating Establishment,Awaiting Application,45 ALDERNEY DR.,dartmouth
MI'KMAQ CHILD DEVELOPMENT CENTRE,Eating Establishment,Active,2161 GOTTINGEN ST.,halifax
GROUNDED CAFE INC,Eating Establishment,Active,1869 UPPER WATER ST.,halifax
PUR & SIMPLE,Eating Establishment,Active,535 PORTLAND ST.,dartmouth
SUBWAY #50751,Eating Establishment,Active,61 GARY MARTIN DR.,bedford
WASABI HOUSE RESTAURANT LTD.,Eating Establishment,Active,6403 QUINPOOL RD.,halifax
JACK ASTORS BAR & GRILL,Eating Establishment,Active,184 CHAIN LAKE DR.,halifax
GOODMORE KOMBUCHA INC,Eating Establishment,Active,300 PRINCE ALBERT RD. UNIT 104,dartmouth
BEL'S POT AFRICAN CUISINE - HALIFAX BREWERY FARMERS MARKET,Public Market - Vendor,Awaiting Application,1496 LOWER WATER ST.,halifax
RISLEY HALL - ARAMARK,Eating Establishment,Awaiting Application,1233 LEMARCHANT ST.,halifax
MR. JB KUSINA CATERING SERVICES LTD,Eating Establishment,Active,1269 BARRINGTON ST.,halifax
SHOPPERS DRUG MART,Food Shop,Active,6025 ALMON ST.,halifax
CANADIAN TIRE GAS BAR & CONVENIENCE,Food Shop,Active,6590 BAYERS RD.,halifax
JUICE PRESS INC. (THE),Eating Establishment,Active,6132 QUINPOOL RD.,halifax
REFRESH CAFE (EON SQUARE),Eating Establishment,Awaiting Application,15 WESTERN PKY.,bedford
BEDFORD BASIN YACHT CLUB,Eating Establishment,Active,377 SHORE DR.,bedford
TRURO PIZZA HOUSE LTD,Eating Establishment,Active,250 WILLOW ST.,truro
QE II VICTORIA GENERAL (SURGICAL SWEET - 11TH FLOOR),Eating Establishment,Awaiting Application,1278 SOUTH PARK ST.,halifax
MARY BROWN'S CHICKEN,Eating Establishment,Awaiting Application,50 TACOMA DR.,dartmouth
HALIFAX CLUB (THE),Eating Establishment,Active,1682 HOLLIS ST.,halifax
YMCA PURDY'S WHARF CHILD CARE CENTRE,Eating Establishment,Active,1969 UPPER WATER ST. UNIT,halifax
GRACE NOTE CHILD CARE CENTRE (2010) LIMITED,Eating Establishment,Active,7071 BAYERS RD. SUITE 221,halifax
HARVEY'S,Eating Establishment,Active,3462 KEMPT RD.,halifax
FUNG WAH RESTAURANT,Eating Establishment,Active,3665 DUTCH VILLAGE RD.,halifax
CARE & FUN CHILDCARE LIMITED,Eating Establishment,Active,290 MAIN AVE.,halifax
ALY MAE'S BREAD BASKET,Food Shop,Active,11 MOUNT HOPE AVE.,dartmouth
SMITTYS FAMILY RESTAURANT,Eating Establishment,Active,1490 CATHEDRAL LANE,halifax
Noodle Waroom,Eating Establishment,Active,1903 BARRINGTON ST. UNIT,halifax
COUSINS RESTAURANT,Eating Establishment,Active,3545 ROBIE ST.,halifax
JOHN'S VIDEO AND VARIETY,Food Shop,Active,175 PLEASANT ST.,dartmouth
Trattoria da Claudio,Eating Establishment,Active,1569 DRESDEN ROW SUITE 8,halifax
MCDONALD'S RESTAURANT,Eating Establishment,Active,393 PLEASANT ST. UNIT 2,dartmouth
JANINA'S CAFE - HISTORIC FARMERS MARKET,Public Market - Vendor,Awaiting Application,1496 LOWER WATER ST.,halifax
TIM HORTONS,Eating Establishment,Awaiting Application,21 MICMAC BLVD.,dartmouth
HARVEYS,Eating Establishment,Active,216 CHAIN LAKE DR.,halifax
MCDONALD'S RESTAURANTS,Eating Establishment,Active,645 WINDMILL RD.,dartmouth
SOMETHING SWEET DESSERT DELIVERY,Food Shop,Active,5675 SPRING GARDEN RD. SUITE A3,halifax
NEWFOUNDLAND GROCERY STORE,Food Shop,Awaiting Application,6061 WILLOW ST.,halifax
Lemon Dogs Lockside,Eating Establishment - Seasonal,Active,54 LOCKS RD.,dartmouth
GOLDEN FORTUNE RESTAURANT LTD.,Eating Establishment,Active,189 HERRING COVE RD.,halifax
SUBWAY (Canada Games Centre),Eating Establishment,Active,26 THOMAS RADDALL DR.,halifax
TARE SHOP (THE),Eating Establishment,Active,5539 CORNWALLIS ST.,halifax
QIU BROTHERS DUMPLINGS,Eating Establishment,Active,1335 BARRINGTON ST.,halifax
MACDOUGALL MEADOWS - HALIFAX BREWERY MARKET,Public Market - Vendor,Active,1496 LOWER WATER ST.,halifax
DAVE'S LOBSTER,Eating Establishment,Active,1751 LOWER WATER ST.,halifax
HABESHA CORNER STORE,Food Shop,Active,19 ALMA CRES.,halifax
Boulangerie La Vendeenne (Halifax Seaport Farmers Market),Public Market - Vendor,Active,1031 MARGINAL RD.,halifax
ADMIRAL LONG TERM CARE (THE),Eating Establishment,Active,6 ADMIRAL ST.,dartmouth
Mother's Pizza,Eating Establishment,Active,5710 YOUNG ST.,halifax
PETRO-PASS,Food Shop,Active,50 ISNOR DR.,dartmouth
WINDSOR PARK MARKET,Food Shop,Active,3455 WINDSOR ST.,halifax
PIATTO PIZZERIA + ENOTECA,Eating Establishment,Awaiting Application,5144 MORRIS ST.,halifax
CHESTNUT STREET PRESCHOOL CENTRE,Eating Establishment,Active,1555 CHESTNUT ST.,halifax
Urban Fable Catering,Public Market - Vendor,Active,1496 LOWER WATER ST.,halifax
Kids & Company - Halifax,Eating Establishment,Active,3260 BARRINGTON ST.,halifax
PITCH & PIVOT SOCIAL ROOM,Eating Establishment,Active,240 BROWNLOW AVE.,dartmouth
TIAN PHAT ASIAN GROCERY,Food Shop,Active,209 BEDFORD HWY.,halifax
"PLAY, LEARN, GROW IN BEDFORD",Eating Establishment,Active,1040 BEDFORD HWY.,bedford
ALLANO'S CATERING SERVICES,Eating Establishment,Active,124 HERRING COVE RD.,halifax
LAWTONS #112,Food Shop,Active,7071 BAYERS RD. SUITE 221,halifax
SHOPPERS DRUG MART,Food Shop,Active,6960 MUMFORD RD. UNIT 220,halifax
Circle K #2514,Food Shop,Active,173 HERRING COVE RD.,halifax
DAVID'S TEA #33,Food Shop,Awaiting Application,5486 SPRING GARDEN RD.,halifax
WARD 5 NEIGHBORHOOD CENTRE,Eating Establishment,Awaiting Application,5540 RUSSELL ST.,halifax
WILLMANS FRIED FOODS LTD,Eating Establishment,Active,3154 ISLEVILLE ST.,halifax
TIM HORTONS,Eating Establishment,Active,217 CHAIN LAKE DR.,halifax
BULK BARN #482 BEDFORD,Food Shop,Active,85 DAMASCUS RD.,bedford
POINT PLEASANT CHILD CARE CENTRE (OGILVIE),Eating Establishment,Active,5651 OGILVIE ST.,halifax
Boyd's Pharmasave,Food Shop,Active,2525 AGRICOLA ST.,halifax
TOTAL DONUT SOLUTIONS,Eating Establishment,Active,56 WALTER HAVILL DR.,halifax
PIZZA PIZZA,Eating Establishment,Awaiting Application,75 PEAKVIEW WAY UNIT D,bedford
NOOK ON GOTTINGEN (THE),Eating Establishment,Awaiting Application,2118 GOTTINGEN ST.,halifax
MIDEAST FOOD CENTRE,Eating Establishment,Active,2595 AGRICOLA ST.,halifax
NEW BEGINNINGS DAY CARE,Eating Establishment,Active,181 MAIN AVE. UNIT,halifax
ROMA CHEESE LTD - ALDERNEY LANDING FARMERS MARKET,Public Market - Vendor,Active,2 OCHTERLONEY ST.,dartmouth
SOBEYS 594,Eating Establishment,Active,68 ROBIE ST.,truro
SUBWAY,Eating Establishment,Active,6443 QUINPOOL RD.,halifax
QUIZNOS SUBS,Eating Establishment,Active,30 FOULIS ROW,dartmouth
Moxie's Classic Grill,Eating Establishment,Active,9 COUNTRYVIEW DR.,dartmouth
MANCHU WOK,Eating Establishment,Awaiting Application,7001 MUMFORD RD. UNIT 256A,halifax
L.A. SMITH'S CONVENIENCE STORE,Food Shop,Active,1646 BARRINGTON ST.,halifax
PLEASANT STREET GO-STORE,Eating Establishment,Active,390 PLEASANT ST.,dartmouth
CIRCLE K #2066,Food Shop,Active,626 WINDMILL RD.,dartmouth
MERI RASOI - MY INDIAN KITCHEN COOKING CLASSES,Eating Establishment - Seasonal,Awaiting Application,55 KING ST.,truro
Jim & Lee Gillespie/WOLFVILLE FARMERS' MARKET,Public Market - Vendor,Active,24 ELM AVE.,wolfville
CAPITAL SPORTS CLUB,Eating Establishment,Active,6300 LADY HAMMOND RD.,halifax
GIANT TIGER #161,Food Shop,Active,46 ROBIE ST.,truro
LADY HAMMOND GRILL,Eating Establishment,Active,6151 LADY HAMMOND RD.,halifax
BACKOOS KOREAN RESTAURANT,Eating Establishment,Active,73 TACOMA DR.,dartmouth
HEARTWOOD RESTAURANT,Eating Establishment,Active,6250 QUINPOOL RD.,halifax
CHATIME HALIFAX,Eating Establishment,Active,5670 SPRING GARDEN RD.,halifax
Tomaso's Pizzeria,Eating Establishment,Active,256 BEDFORD HWY.,halifax
Longspell Point Farm - Wolfville Farmers Market,Public Market - Vendor,Active,24 ELM AVE.,wolfville
TAREKS CAFE,Eating Establishment,Active,3045 ROBIE ST.,halifax
GROWING PLACE (THE),Eating Establishment,Active,230 PLEASANT ST.,dartmouth
SOBEYS #881,Eating Establishment,Active,6990 MUMFORD RD.,halifax
PRESS GANG (THE),Eating Establishment,Active,5218 PRINCE ST.,halifax
HUO LE,Eating Establishment,Active,5650 SPRING GARDEN RD.,halifax
ECOLE SECONDAIRE DU SOMMET,Eating Establishment,Active,500 LARRY UTECK BLVD.,halifax
Haven Manor,Eating Establishment,Active,6411 COBURG RD.,halifax
GRILL WORKS / LIFE SCIENCES BLDG.,Eating Establishment,Awaiting Application,1355 OXFORD ST.,halifax
STARBUCKS COFFEE CANADA,Eating Establishment,Active,69 ROBIE ST.,truro
DARTMOUTH NORTH COMMUNITY CENTRE,Eating Establishment,Awaiting Application,105 HIGHFIELD PARK DR.,dartmouth
KIDS FUN FACTORY (THE),Eating Establishment,Awaiting Application,580 WRIGHT AVE.,dartmouth
ROSS PATTERSON (Noodle Guy)-WOLFVILLE FARMERS MARKET,Public Market - Vendor,Awaiting Application,24 ELM AVE.,wolfville
TRIPLE AAA,Eating Establishment,Awaiting Application,6279 JUBILEE RD.,halifax
KEBAB KITCHEN,Eating Establishment,Awaiting Application,600 WINDMILL RD.,dartmouth
DAYDREAMS CHILDCARE CENTRE,Eating Establishment,Awaiting Application,34 BLUEWATER RD.,bedford
STEP ABOVE CHILDCARE CENTRE,Eating Establishment,Awaiting Application,650 WASHMILL LAKE DR.,halifax
ela! GREEK TAVERNA,Eating Establishment,Awaiting Application,215 CHAIN LAKE DR. UNIT 4B,halifax
REDWOOD GRILL,Eating Establishment,Awaiting Application,30 FAIRFAX DR.,halifax
LEBRUN SEAFOODS - HALIFAX FORUM FARMERS MARKET,Public Market - Vendor,Awaiting Application,2901 WINDSOR ST.,halifax
WOODLAWN CONVENIENCE STORE,Food Shop,Awaiting Application,99 WOODLAWN RD.,dartmouth
STAGGERS PUB & GRUB,Eating Establishment,Awaiting Application,26 PORTLAND ST.,dartmouth
TAPROOT FARMS - SPRYFIELD FARMERS MARKET,Public Market - Vendor,Awaiting Application,173 OLD SAMBRO RD.,halifax
ROUTE 6 FOOD TRUCK COMPANY - HALIFAX BREWERY MARKET,Public Market - Vendor,Awaiting Application,1496 LOWER WATER ST.,halifax
LOOK HO HO RESTAURANT,Eating Establishment,Active,6420 BAYERS RD.,halifax
FUNG LUM RESTAURANT,Eating Establishment,Active,1658 BEDFORD HWY. UNIT 0490,bedford
ROUSSEAU CHOCOLATIER LTD,Eating Establishment,Active,5151 SOUTH ST. UNIT 104/105,halifax
RICKS VARIETY,Food Shop,Active,278 LACEWOOD DR.,halifax
MELVILLE HEIGHTS,Eating Establishment,Active,24 RAMSGATE LANE,halifax
CHEESECURDS GOURMET BURGERS AND POUTINERIE,Eating Establishment,Active,380 PLEASANT ST.,dartmouth
RUM RUNNERS RUM CAKE FACTORY,Food Shop,Active,1479 LOWER WATER ST.,halifax
HITEA,Eating Establishment,Active,480 PARKLAND DR. UNIT 14,halifax
Quinpool Road Superstore #383,Eating Establishment,Active,6139 QUINPOOL RD.,halifax
TIM HORTONS DRIVE THROUGH (ESSO),Eating Establishment,Active,6020 YOUNG ST.,halifax
PARKLAND ESTATES (Aberdeen & Bradford Hall),Eating Establishment,Active,118 FAIRFAX DR.,halifax
Shahi Groceries,Food Shop,Active,278 LACEWOOD DR.,halifax
MAY GARDEN,Eating Establishment,Active,1475 BEDFORD HWY. SUITE 104,bedford
MCDONALD'S RESTAURANT,Eating Establishment,Active,10 PEAKVIEW WAY,bedford
SOBEYS #776,Eating Establishment,Active,551 PORTLAND ST.,dartmouth
QUIZNOS SUB,Eating Establishment,Active,201 CHAIN LAKE DR.,halifax
BOSTON PIZZA,Eating Establishment,Active,611 PORTLAND ST.,dartmouth
TIM HORTONS,Eating Establishment,Active,205 PORTLAND ST.,dartmouth
METRO PIZZA,Eating Establishment,Active,6021 LADY HAMMOND RD.,halifax
WILLY'S FRESH CUT FRIES & BURGERS,Eating Establishment,Active,5239 BLOWERS ST.,halifax
SUBWAY,Eating Establishment,Active,3770 KEMPT RD.,halifax
MOXIE'S GRILL/BAR - HALIFAX,Eating Establishment,Active,182 CHAIN LAKE DR.,halifax
THE CAPTAIN'S BOIL,Eating Establishment,Active,5680 SPRING GARDEN RD. UNIT 1,halifax
SUSHIJET ASIAN CUISINE - LARRY UTECK,Eating Establishment,Active,540 SOUTHGATE DR. UNIT 103,bedford
LITTLE PICASSO DAYCARE & ART CENTRE,Eating Establishment,Active,7 LANGBRAE DR.,halifax
LE PETIT VOILIER - Sommet,Eating Establishment,Active,500 LARRY UTECK BLVD.,halifax
SPRYFIELD GUARDIAN,Food Shop,Active,205 HERRING COVE RD.,halifax
BEST CHOICE CHINESE FOOD,Eating Establishment,Active,28 TITUS ST.,halifax
WANG EXPRESS,Eating Establishment,Active,245 ROBIE ST.,truro
DINING HALL,Eating Establishment,Active,5518 SPRING GARDEN RD.,halifax
Edward Jost Annex,Eating Establishment,Active,11 MONT ST.,halifax
The Brown Hound Pub,Eating Establishment,Active,1450 IRONSTONE LANE,halifax
OLYMPIC COMMUNITY CENTER,Eating Establishment,Active,2304 HUNTER ST.,halifax
THAI EXPRESS,Eating Establishment,Active,7001 MUMFORD RD. UNIT 256A,halifax
TIM HORTONS (DALHOUSIE STUDENT UNION BLD) #72901,Eating Establishment,Active,6136 UNIVERSITY AVE.,halifax
DOMINO'S PIZZA (STORE 10981),Eating Establishment,Active,118 WYSE RD.,dartmouth
IZZY'S BAGEL CO.,Eating Establishment,Active,1180 BEDFORD HWY.,bedford
DARTMOUTH DAY CARE CENTRE (CALEDONIA),Eating Establishment,Active,28 CALEDONIA RD.,dartmouth
PILOTS PUB DINING ROOM & LOUNGE,Eating Establishment,Active,10 ATLANTIC ST.,dartmouth
Pleasant Street House,Eating Establishment,Active,348 PLEASANT ST.,dartmouth
G.G. Pharmacy Inc.,Food Shop,Active,5524 SPRING GARDEN RD.,halifax
SMITTY'S FAMILY RESTAURANT,Eating Establishment,Active,107 MAIN ST.,dartmouth
3341007 Nova Scotia Limited,Eating Establishment,Active,56 SUPREME CRT. UNIT 5,halifax
OLD TRIANGLE IRISH ALE HOUSE (THE),Eating Establishment,Active,5136 PRINCE ST.,halifax
SUSHI SHIGE JAPANESE RESTAURANT,Eating Establishment,Active,5688 ALMON ST.,halifax
IN SPRING FINE ASIAN FUSION CUISINE,Eating Establishment,Active,5171 SALTER ST.,halifax
Abundant Acres - Warehouse Market,Food Shop,Active,2867 ISLEVILLE ST.,halifax
Pizza Pizza,Eating Establishment,Awaiting Application,3514 JOSEPH HOWE DR.,halifax
FREEMAN'S FAIRVIEW,Eating Establishment,Active,3671 DUTCH VILLAGE RD.,halifax
LAWTONS #2754,Food Shop,Active,7001 MUMFORD RD. UNIT 256A,halifax
ALSMADI MARKET,Food Shop,Active,364 BEDFORD HWY.,halifax
D & H NOODLE SHOP,Food Shop,Active,3570 DUTCH VILLAGE RD.,halifax
POP CULTURE BREW CO,Eating Establishment,Active,50 MOUNT HOPE AVE.,dartmouth
BOOSTER JUICE,Eating Establishment,Active,6140 YOUNG ST.,halifax
TIM HORTONS 787,Eating Establishment,Active,44 INGLIS PL.,truro
Atlantic Superstore,Eating Establishment,Active,40 HOGAN CRT.,bedford
WALMART - DARTMOUTH #3021,Eating Establishment,Active,90 LAMONT TERR.,dartmouth
LA PIAZZA RISTORANTE,Eating Establishment,Active,6430 CHEBUCTO RD.,halifax
EASTERN HOUSE CUISINE LTD,Food Shop,Active,629 BEDFORD HWY.,halifax
JONG HO LEE - PUSHCART,Mobile - Class 2,Active,556 BEDFORD HWY.,halifax
